plant_id,filename,area_pixels,width,height,color_freq_1_hex,color_freq_1_pct,color_freq_2_hex,color_freq_2_pct,color_freq_3_hex,color_freq_3_pct,color_freq_4_hex,color_freq_4_pct,color_freq_5_hex,color_freq_5_pct,color_perceptual_1_hex,color_perceptual_1_pct,color_perceptual_2_hex,color_perceptual_2_pct,color_perceptual_3_hex,color_perceptual_3_pct,color_perceptual_4_hex,color_perceptual_4_pct,color_perceptual_5_hex,color_perceptual_5_pct,color_saliency_1_hex,color_saliency_1_pct,color_saliency_2_hex,color_saliency_2_pct,color_saliency_3_hex,color_saliency_3_pct,color_saliency_4_hex,color_saliency_4_pct,color_saliency_5_hex,color_saliency_5_pct,color_botanical_1_hex,color_botanical_1_pct,color_botanical_2_hex,color_botanical_2_pct,color_botanical_3_hex,color_botanical_3_pct,color_botanical_4_hex,color_botanical_4_pct,color_botanical_5_hex,color_botanical_5_pct,color_chroma_1_hex,color_chroma_1_pct,color_chroma_2_hex,color_chroma_2_pct,color_chroma_3_hex,color_chroma_3_pct,color_chroma_4_hex,color_chroma_4_pct,color_chroma_5_hex,color_chroma_5_pct,color_visual_1_hex,color_visual_1_pct,color_visual_2_hex,color_visual_2_pct,color_visual_3_hex,color_visual_3_pct,color_visual_4_hex,color_visual_4_pct,color_visual_5_hex,color_visual_5_pct,family,genus,species
KW_T_423_1_0060R,KW_T_423_1_0060R.tif_segmented.png,793699,2990,3659,#a4a782,9.8,#9d9f7b,9.05,#acaf89,7.1,#979674,5.96,#797c63,4.72,#c2c795,2.64,#a4a782,9.8,#acaf89,7.1,#b4b890,3.69,#9d9f7b,9.05,#bebaa3,1.86,#b5b099,1.61,#b4b890,3.69,#aca48f,1.09,#acaf89,7.1,#c2c795,2.64,#b4b890,3.69,#acaf89,7.1,#9d9f7b,9.05,#a4a782,9.8,#c4c896,1.96,#babe93,2.16,#b1b58e,3.44,#a5a887,2.77,#9ea07e,3.2,#bebaa3,1.86,#b5b099,1.61,#b4b890,3.69,#aca48f,1.09,#acaf89,7.1,,Lycopus,Lycopus europaeus
KW_T_423_1_0062R,KW_T_423_1_0062R.tif_segmented.png,1296878,2996,3663,#918e76,5.91,#a6a489,5.41,#7f7e68,5.16,#87886f,4.89,#bfb7a3,4.2,#c49f9f,1.52,#bfb7a3,4.2,#b2958e,1.75,#b3ac98,3.98,#a6a489,5.41,#bfb7a3,4.2,#b3ac98,3.98,#a6a489,5.41,#989c7c,4.11,#a1877f,2.11,#c49f9f,1.52,#989c7c,4.11,#7f7e68,5.16,#a6a489,5.41,#757560,4.1,#cfc481,0.12,#bcb07b,0.15,#c49b9d,0.71,#ac9f71,0.16,#b58c8c,0.29,#bfb7a3,4.2,#b3ac98,3.98,#a6a489,5.41,#989c7c,4.11,#a1877f,2.11,,Valeriana,Valeriana officinalis
KW_T_423_1_0064R,KW_T_423_1_0064R.tif_segmented.png,1435672,2992,3651,#70715e,7.46,#a0a185,7.11,#97977e,6.19,#656654,6.11,#8f8e76,6.02,#d1ca96,2.33,#c59396,3.29,#7e4948,1.61,#956061,4.93,#a57071,2.98,#bfb59e,3.34,#956061,4.93,#7e4948,1.61,#b58686,2.02,#a57071,2.98,#956061,4.93,#d1ca96,2.33,#c59396,3.29,#a57071,2.98,#7e4948,1.61,#d7d397,1.02,#995e62,2.38,#a56c6f,2.69,#c28e91,2.01,#c8989a,1.84,#bfb59e,3.34,#956061,4.93,#7e4948,1.61,#b58686,2.02,#a57071,2.98,,Lonicera,Lonicera periclymenum
KW_T_423_1_0066R,KW_T_423_1_0066R.tif_segmented.png,1093876,2992,3639,#817f6a,6.04,#777764,6.03,#6f705d,5.07,#888772,4.63,#928f77,4.38,#c8c3ad,3.88,#c0bba5,3.29,#acab86,2.65,#b8b49c,3.4,#a19d7a,2.84,#c8c3ad,3.88,#c0bba5,3.29,#b8b49c,3.4,#b0ae93,3.67,#a7a48e,2.77,#acab86,2.65,#817f6a,6.04,#a19d7a,2.84,#777764,6.03,#888772,4.63,#a8a581,1.05,#acab86,1.2,#b6b790,1.2,#b0b08b,1.44,#a3a07c,0.84,#c8c3ad,3.88,#c0bba5,3.29,#b8b49c,3.4,#b0ae93,3.67,#a7a48e,2.77,,Aethusa,Aethusa cynapium
KW_T_423_1_0068R,KW_T_423_1_0068R.tif_segmented.png,711374,2996,3647,#777a5d,6.11,#808363,5.92,#8a8d6a,5.88,#6f7256,5.77,#919370,4.71,#caca9d,4.3,#bebd98,4.11,#b5b68a,2.59,#c4c1a9,2.98,#6f7256,5.77,#c4c1a9,2.98,#caca9d,4.3,#bebd98,4.11,#b3b294,2.84,#b5b68a,2.59,#caca9d,4.3,#b5b68a,2.59,#aaab88,4.12,#919370,4.71,#a4a680,4.13,#c9cb9a,2.71,#bfc192,1.8,#adae89,2.75,#b4b589,1.81,#cfcca6,2.04,#c4c1a9,2.98,#caca9d,4.3,#bebd98,4.11,#b3b294,2.84,#b5b68a,2.59,,Adoxa,Adoxa moschatellina
KW_T_423_1_0070R,KW_T_423_1_0070R.tif_segmented.png,1108647,2998,3647,#999979,8.38,#8f9070,8.16,#84846b,8.13,#777a64,7.99,#a2a182,6.96,#e0d766,2.88,#e1dd76,2.99,#d7c75e,2.63,#c6b456,1.46,#c1c37c,1.02,#c6c3a8,2.87,#bab89e,3.65,#bcbf8e,3.33,#aeaa92,3.81,#aeae87,3.4,#e0d766,2.88,#d7c75e,2.63,#e1dd76,2.99,#c6b456,1.46,#c1c37c,1.02,#e1d760,1.85,#e2de73,3.53,#d4c35a,2.01,#d7cd69,1.4,#c6b456,1.22,#c6c3a8,2.87,#bab89e,3.65,#bcbf8e,3.33,#aeaa92,3.81,#aeae87,3.4,,Ranunculus,Ranunculus bulbosus
KW_T_423_1_0072R,KW_T_423_1_0072R.tif_segmented.png,1014952,2994,3647,#a6ac84,5.92,#9fa180,5.47,#b2b190,5.25,#918f72,4.92,#c5be97,4.57,#bec086,4.5,#c5be97,4.57,#b4b17d,4.04,#c0b0a0,3.85,#aaa072,2.44,#c0b0a0,3.85,#9c9281,1.89,#7d7e64,3.25,#88866a,3.73,#72745c,1.52,#bec086,4.5,#aaa072,2.44,#b4b17d,4.04,#9fa180,5.47,#979a78,4.55,#c7c690,1.49,#b9a876,0.84,#bfc186,2.88,#b9b980,2.9,#ab9d6f,1.13,#c0b0a0,3.85,#9c9281,1.89,#7d7e64,3.25,#88866a,3.73,#72745c,1.52,,Cardamine,Cardamine pratensis
KW_T_423_1_0074R,KW_T_423_1_0074R.tif_segmented.png,935072,2994,3651,#7d7e65,6.83,#abac87,6.45,#b2b78c,6.25,#88886e,5.68,#c7c1a9,4.7,#bfaf6c,1.63,#c4c58d,3.63,#d2b2ad,1.04,#b2b78c,6.25,#ad7e7b,0.85,#c7c1a9,4.7,#c4b4a0,3.9,#d2b2ad,1.04,#ad7e7b,0.85,#b6938a,1.64,#bfaf6c,1.63,#c4c58d,3.63,#ad7e7b,0.85,#abac87,6.45,#7d7e65,6.83,#b9a664,0.73,#c1b370,1.12,#c6c890,2.4,#c0bf84,1.72,#ad7b7a,0.64,#c7c1a9,4.7,#c4b4a0,3.9,#d2b2ad,1.04,#ad7e7b,0.85,#b6938a,1.64,,Erodium,Erodium cicutarium
KW_T_423_1_0076R,KW_T_423_1_0076R.tif_segmented.png,947859,2933,3659,#797859,9.14,#838161,7.93,#8d8c68,7.33,#bab696,6.6,#6d6e50,6.44,#e2de87,4.96,#d4c363,0.61,#dad37b,1.46,#c2b467,0.81,#cac37f,1.71,#c6c1a9,4.67,#bab696,6.6,#9d7b61,1.38,#b3b186,3.98,#aaa587,4.17,#d4c363,0.61,#e2de87,4.96,#dad37b,1.46,#c2b467,0.81,#cac37f,1.71,#e3df89,3.64,#ddd981,2.03,#d2ca79,1.44,#c7b967,1.24,#d4d193,1.44,#c6c1a9,4.67,#bab696,6.6,#9d7b61,1.38,#b3b186,3.98,#aaa587,4.17,,Pilosella,Pilosella officinarum
KW_T_423_1_0078R,KW_T_423_1_0078R.tif_segmented.png,1448768,2933,3655,#575e49,10.07,#616651,7.98,#696e57,7.4,#70755d,6.68,#787b61,6.4,#bcbd8b,1.64,#575e49,10.07,#b1b081,2.87,#c4bfa3,2.26,#4e5642,6.07,#c4bfa3,2.26,#b8b397,1.75,#aba788,1.81,#b1b081,2.87,#bcbd8b,1.64,#bcbd8b,1.64,#b1b081,2.87,#a6a376,3.41,#787b61,6.4,#7f8368,5.72,#c0c091,0.84,#babb88,1.08,#b3b283,1.71,#adab7b,1.89,#a6a376,2.48,#c4bfa3,2.26,#b8b397,1.75,#aba788,1.81,#b1b081,2.87,#bcbd8b,1.64,,Urtica,Urtica dioica
