Huidige Nederlandse naam,Oude Nederlandse naam in Flora Batava,Huidige botanische naam,Link naar scans in bladerboek KB
Ruwe smele,Veen-Windhalm,Deschampsia cespitosa,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/76/zoom/3/lat/-67.06743335108297/lng/-51.328125
Gewone waternavel,Gemeene Water-Navel,Hydrocotyle vulgaris,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/77/zoom/3/lat/-67.06743335108297/lng/-51.328125
Parnassia,Moerassig Parnas-kruid,Parnassia palustris,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/78/zoom/3/lat/-67.06743335108297/lng/-51.328125
Schapenzuring,Schaaps-Zuring,Rumex acetosella,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/79/zoom/3/lat/-67.06743335108297/lng/-51.328125
Muurpeper,Scherpe Huislook,Sedum acre,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/80/zoom/3/lat/-67.06743335108297/lng/-51.328125
Vijfvingerkruid,Kruipende Ganserik,Potentilla reptans,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/81/zoom/3/lat/-67.06743335108297/lng/-51.328125
Grote tijm,Veld Thijm,Thymus pulegiodes,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/82/zoom/3/lat/-67.06743335108297/lng/-51.328125
Witte krodde,Akker Tas-Kers,Thlaspi arvense,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/83/zoom/3/lat/-67.06743335108297/lng/-51.328125
Akker-melkdistel,Akker Melk-Distel,Sonchus arvensis,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/84/zoom/3/lat/-67.06743335108297/lng/-51.328125
Canadese fijnstraal,Canadaasch Fijn-straal,Conyza canadensis,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/85/zoom/3/lat/-67.06743335108297/lng/-51.328125
Zwarte toorts,Zwarte Toorts,Verbascum nigrum,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/86/zoom/3/lat/-67.06743335108297/lng/-51.328125
Wilde kardinaalsmuts,Gemeene Kardinaals-Muts,Euonymus europaeus,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/87/zoom/3/lat/-67.06743335108297/lng/-51.328125
Muizenstaart,Gras Muizen-Staart,Myosurus minimus,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/88/zoom/3/lat/-67.06743335108297/lng/-51.328125
Moeraszoutgras,Moeras Zoutgras,Triglochin palustris,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/89/zoom/3/lat/-67.06743335108297/lng/-51.328125
Veenwortel,Tweeslagtige Duizend-knoop,Persicaria amphibia,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/90/zoom/3/lat/-67.06743335108297/lng/-51.328125
Gewoon speenkruid,Speenkruid Ranonkel,Ficaria verna subsp. verna,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/91/zoom/3/lat/-67.06743335108297/lng/-51.328125
Gewone Brunel,Gemeene Brunelle,Prunella vulgaris,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/92/zoom/3/lat/-67.06743335108297/lng/-51.328125
Koninginnen-kruid,Hennip-bladig Leverkruid,Eupatorium cannabinum,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/93/zoom/3/lat/-67.06743335108297/lng/-51.328125
Grote keverorchis,Eyrond Tweeblad,Listera ovata,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/94/zoom/3/lat/-67.06743335108297/lng/-51.328125
Witte wilg,Witte wilg,Salix alba,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/95/zoom/3/lat/-67.06743335108297/lng/-51.328125
Mannetjesereprijs,Geneeskragtige Eerenprijs,Veronica officinalis,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/8/zoom/3/lat/-67.06743335108297/lng/-51.85546874999999
Melkkruid,Zee Melk-kruid,Glaux maritima,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/26/zoom/3/lat/-68.52823492039876/lng/-50.625
Watertorkruid,Water Tor-kruid,Oenanthe aquatica,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/31/zoom/3/lat/-68.52823492039876/lng/-50.625
Pitrus,Uitgebreide Bloembies,Juncus effusus,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/36/zoom/3/lat/-68.52823492039876/lng/-50.625
Gewone vogelkers,Vogel Pruim,Prunus padus,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/43/zoom/3/lat/-68.52823492039876/lng/-50.625
Muurleeuwenbek,Muur Leeuwenbek,Cymbalaria muralis,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/52/zoom/3/lat/-69.34933863977649/lng/-49.04296875
Zeeraket,Gemeene Zee-Raket,Cakile maritima,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/56/zoom/3/lat/-69.34933863977649/lng/-49.04296875
Kalketrip,Sterre-Distel Centaurie,Centaurea calcitrapa,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/79/zoom/3/lat/-68.78414378041504/lng/-54.31640625
Hop (mannelijke plant),Gewone Hop,Humulus lupulus,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/86/zoom/3/lat/-68.78414378041504/lng/-54.31640625
Hop (vrouwelijke plant), Foemina,Humulus lupulus,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/87/zoom/3/lat/-68.78414378041504/lng/-54.31640625
Knolvossenstaart,Bolwortelige Vossestaart,Alopecurus bulbosus,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/12/zoom/3/lat/-67.06743335108297/lng/-51.85546874999999
Kromhals,Akker Kromhals,Anchusa arvensis,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/21/zoom/3/lat/-69.53451763078357/lng/-46.40625
Peen,Gemeene Peen,Daucus carota,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/29/zoom/3/lat/-68.52823492039876/lng/-50.625
Welriekende salomonszegel,Wit-wortelig Dalkruid,Polygonatum odoratum,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/34/zoom/3/lat/-68.52823492039876/lng/-50.625
Gewone salomonszegel,veelbloemig Dalkruid,Polygonatum multiflorum,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/35/zoom/3/lat/-68.52823492039876/lng/-50.625
Duinroos,Duin Roze,Rosa spinosissima,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/44/zoom/3/lat/-68.52823492039876/lng/-50.625
Krabbenscheer,Gemeene Krabbe-schaar,Stratiotes aloides,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/48/zoom/3/lat/-69.34933863977649/lng/-49.04296875
Stekelbrem,Engelsche Genisto,Genista anglica,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/65/zoom/3/lat/-68.78414378041504/lng/-51.15234375
Wegdistel,Witte Weg-Distel,Onopordum acanthium,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/75/zoom/3/lat/-68.78414378041504/lng/-54.31640625
Duindoorn,Gemeene Duin-doorn,Hippophae rhamnoides,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/84/zoom/3/lat/-68.78414378041504/lng/-54.31640625
Handjesereprijs,Driebladige Eerenprijs,Veronica triphyllos,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/10/zoom/3/lat/-67.06743335108297/lng/-51.85546874999999
Kropaar,Gemeene Krop-aar,Dactylis glomerata,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/14/zoom/3/lat/-67.06743335108297/lng/-51.85546874999999
Mottenkruid,Motwerende Toorts,Verbascum blattaria,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/23/zoom/3/lat/-68.52823492039876/lng/-50.625
Gevlekte scheerling,Gevlekte scheerling,Conium maculatum,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/30/zoom/3/lat/-68.52823492039876/lng/-50.625
Framboos,Hof Braambes,Rubus idaeus,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/45/zoom/3/lat/-68.52823492039876/lng/-50.625
Moerasandoorn,Moeras Andoorn,Stachys palustris,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/49/zoom/3/lat/-69.34933863977649/lng/-49.04296875
Knopig helmkruid,Knoop Helmkruid,Scrophularia nodosa,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/54/zoom/3/lat/-69.34933863977649/lng/-49.04296875
