Huidige Nederlandse naam,Oude Nederlandse naam in Flora Batava,Huidige botanische naam,Link naar scans in bladerboek KB
Gewoon klauwtjesmos,Cypresbladig Dekmos,Hypnum cupressiforme,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/22/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Knolparasolzwam,,Chlorophyllum racodes,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/23/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Knolsteenbreek,Knollige Steenbreek. Haarlems Klokkenspel,Saxifraga granulata,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/24/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Jeneverbes,Jeneverstruik,Juniperus communis,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/25/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Hondskruid,Pyramidaal Standelkruid,Anacamptis pyramidalis,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/26/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Gerand muursterretje,Baardmos met gerande blaadjes,Tortula marginata,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/27/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Gewoon elfenschermpje,,Mycena pura,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/28/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Gele hoornpapaver,Gele Hoornpapaver. Groote gehoornde Heul,Glaucium flavum,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/29/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Rankende duivenkervel,Witte Duivekervel,Fumaria capreolata,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/30/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Veldgentiaan,Veld-Gentiaan,Gentianella campestris,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/31/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Bruin cypergras,Bruin Cypergras,Cyperus fuscus,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/32/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Groot laddermos,Zuiver Dekmos,Pseudoscleropodium purum,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/33/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Bottelroos,Bottelroos,Rosa villosa,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/34/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Stengelloze sleutelbloem,Ongesteelde Sleutelbloem,Primula vulgaris,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/35/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Kruipwilg,Kruipwilg,Salix repens,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/36/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Smaragdmos,Geelachtig Dekmos,Homalothecium lutescens,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/37/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Narcisridderzwam,Zwavelgele Plaatzwam,Tricholoma sulphureum,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/38/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Boswilg x Katwilg,Steunbladige Wilg,Salix x smithiana,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/39/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Wilg spec.,Spitsbladige Wilg,Salix spec.,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/40/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Grauwe wilg,Aschgraauwe Wilg,Salix cinerea,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/41/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Vals judasoor,Groote Cyphella,Schizophyllum amplum,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/42/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Paarse knoopzwam s.l.,Vleeschachtige Bulgaria,Ascocoryne sarcoides s.l.,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/43/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Rijsbes,Rijsbessen. Waterbessen.,Vaccinium uliginosum,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/44/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Winterpostelein,Claytonia met doorgroeide bladen,Claytonia perfoliata,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/45/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Spinaziezuring,Grootste Zuring,Rumex patientia,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/46/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Koepelmos,Donker Koepelmos,Cinclidium stygium,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/47/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Peer-jeneverbesroest,,Gymnosporangium sabinae,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/48/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Meidoorn-jeneverbesroest,,Gymnosporangium clavariiforme,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/48/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Pijlkruidkers,Draba-kers,Lepidium draba,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/49/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Heelkruid,Sanikel,Sanicula europaea,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/50/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Zeewolfsmelk,Zee-Wolfsmelk,Euphorbia paralias,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/51/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Slofhak,Puel's Reukgras,Anthoxanthum aristatum,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/52/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Bundelcollybia,Zaamvloeijende Plaatzwam,Gymnopus confluens,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/53/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Moerashertshooi,Moeras Hertshooi,Hypericum elodes,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/54/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Weichselboom,Lucia-Kers. St.Lucia-hout,Prunus mahaleb,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/55/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Herfstbitterling,Laatbloeijende Chlora,Blackstonia perfoliata subsp. serotina,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/56/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Echt iepenmos,Groenste Paarland,Zygodon viridissimus,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/57/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Hazenoor spec.,Ezelsoor-Schotelzwam,Otidea spec.,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/58/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Voorjaarshelmkruid,Voorjaars Helmkruid,Scrophularia vernalis,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/59/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Bittere wilg,Bittere Wilg,Salix purpurea,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/60/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Kruikmos,Kruikmos,Splachnum ampullaceum,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/61/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Populiermelkzwam,Betwiste Melk-Paddestoel,Lactarius controversus,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/62/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Toefige labyrintzwam,Vleeschkleurig Sistotrema,Abortiporus biennis,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/63/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Kortstelige veldridderzwam s.l.,Kortstelige Plaatzwam,Melanoleuca brevipes s.l.,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/64/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Amerikaans krentenboompje,Canadesche Mispel,Amelanchier lamarckii,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/65/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Zwarte populier,Zwarte Popel,Populus nigra,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/66/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Zwarte populier,Zwarte Popel,Populus nigra,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/66/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Blaasvaren,Breekbaar Blaasvaren,Cystopteris fragilis,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/67/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Grote kleefparasol,Linsvormige Plaatzwam,Limacella guttata,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/68/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Duinroos x Egelantier,Gekroonde Roos,Rosa x cantiana,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/69/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Cranberry,Amerikaansche Veenbes. Groote Veenbes.,Vaccinium macrocarpon,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/70/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Stekelzaad,Stekelzaad,Lappula squarrosa,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/71/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Gevlekte aronskelk (ongevlekte variëteit),Aronskelk met ongevlekte bladen,Arum maculatum,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/72/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Zeemkleurig hazenoor,Ledergele Peziza,Otidea alutacea,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/73/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Bokaalkluifzwam,Bekervormige Peziza,Helvella acetabulum,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/73/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Verfbrem,Akker-Brem. Verf-Brem,Genista tinctoria,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/74/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Stippelganzenvoet,Vijgebladige Ganzevoet,Chenopodium ficifolium,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/75/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Ratelpopulier,Ratel Populier,Populus tremula,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/77/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Ratelpopulier,Ratel Populier,Populus tremula,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/77/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Roodgerande houtzwam,Gerande Polyporus,Fomitopsis pinicola,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/78/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Lakzwam,Glanzende Polyporus,Ganoderma lucidum,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/78/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Katwilg,Bindwilg,Salix viminalis,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/79/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Canadapopulier,,Populus x canadensis,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/80/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Canadapopulier,,Populus x canadensis,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/81/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Draadrus,Draadvormige Bloembies,Juncus filiformis,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/82/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Witte koraalzwam,Koraalachtige Knotszwam,Clavulina coralloides,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/83/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Bittere scheefbloem,Bittere Scheefbloem,Iberis amara,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/84/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Grauwe abeel,Grijsachtige Populier,Populus x canescens,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/85/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Grauwe abeel,Grijsachtige Populier,Populus x canescens,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/86/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Groot klokhoedje,Dompermos met gedraaide vruchtjes,Encalypta streptocarpa,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/87/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Zeepzwam,Zeepachtige Plaatzwam,Tricholoma saponaceum,https://galerij.kb.nl/kb.html#/nl/florabatava14/page/88/zoom/3/lat/-65.03506043658815/lng/-28.916015625
Klein streepzaad,Veld-Streepzaad,Crepis capillaris,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/8/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Wollige munt,Rondbladige Munt,Mentha x rotundifolia nm. alopecuroides,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/9/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Liggende asperge,Zeekants Aspersie. Dwerg Aspersie,Asparagus officinalis subsp. prostratus,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/10/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Brede wespenorchis,Wild wit Nieskruid,Epipactis helleborine subsp. helleborine,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/11/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Gekraagde aardster,Driedubbele Aardster,Geastrum triplex,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/12/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Gele helmbloem,Gele Helmbloem,Pseudofumaria lutea,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/13/zoom/3/lat/-65.98227002980873/lng/-25.224609375
,Canadasche Diervilla,Diervilla lonicera,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/14/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Drienervige zegge,Drienervig Sekgras,Carex trinervis,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/15/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Zandhaarmos,Jeneverbladig Polytrichum,Polytrichum juniperum,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/16/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Ruige ridderzwam,Koeijen-plaatzwam,Tricholoma vaccinum,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/17/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Duinroos x Egelantier,Eglantier-Duinroos,Rosa x cantiana,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/18/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Kaal knopkruid,Kleinbloemige Galinsoga,Galinsoga parviflora,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/19/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Italiaans raaigras,Veelbloemig Raygras,Lolium multiflorum,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/20/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Gele ridderzwam,Ruiter-Plaatzwam,Tricholoma equestre,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/21/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Gestreept nestzwammetje,Gestreepte Potjes-zwam,Cyathus striatus,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/22/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Kruisbladgentiaan,Kruisbladige Gentiaan. Madelgeer,Gentiana cruciata,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/23/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Witte abeel,Witte Populier. Witblad. Witboom.,Populus alba,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/24/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Witte abeel,Witte Populier. Witblad. Witboom,Populus alba,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/25/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Gekroesde haarmuts,Bevallige Haarmuts,Orthotrichum pulchellum,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/26/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Oranje populierboleet,Rosse Pijpzwam,Leccinum albostipitatum,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/27/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Verspreidbladig goudveil,Overhoeksch Goudveil,Chrysosplenium alternifolium,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/28/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Grauwe abeel,,Populus x canescens,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/29/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Grauwe abeel,,Populus x canescens,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/30/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Bruine aardster (a-c en h); Heideaardster (e en g),Gestreepte Aardster,"Geastrum elegans (a-c, h); Geastrum schmidelii (e en g)",https://galerij.kb.nl/kb.html#/nl/florabatava15/page/31/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Kleine aardster,Cesati's Aardster,Geastrum minimum,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/32/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Schermscheefbloem,Schermvormende Scheefbloem,Iberis umbellata,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/33/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Duinkruiskruid,Jacobs kruiskruid met ongestraalde bloemen,Jacobaea vulgaris subsp. dunensis,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/34/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Gespleten hennepnetel,Tweespletige Hennepnetel,Galeopsis bifida,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/35/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Gewoon pluisjesmos,Eenzijdige Gaffeltand,Dicranella heteromalla,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/36/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Porseleinzwam,Kleverige Plaatzwam,Oudemansiella mucida,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/37/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Haarlems klokkenspel,Haarlems klokkenspel,Saxifraga granulata 'Plena',https://galerij.kb.nl/kb.html#/nl/florabatava15/page/38/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Boswederik,Bosch-Wederik,Lysimachia nemorum,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/39/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Bleke zegge,Bleek Rietgras,Carex pallescens,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/40/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Kleismaragdsteeltje,,Barbula unguiculata,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/41/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Witte kluifzwam,Gekroesde Helvella,Helvella crispa,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/42/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Grote pimpernel,Gewoon Sorbenkruid,Sanguisorba officinalis,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/43/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Smalle aster,Kleinbloemige Aster,Symphyotrichum lanceolatum,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/44/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Stijve wolfsmelk,Regstandige Wolfsmelk,Euphorbia stricta,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/45/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Duinzwenkgras,Zand-Zwenkgras,Festuca arenaria,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/46/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Nevelzwam,Nevelkleurige Plaatzwam ,Clitocybe nebularis,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/47/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Nieuw-Nederlandse aster,Winter-Aster,Symphyotrichum novi-belgii,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/48/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Rapunzelklokje,Raapwortelig Klokje. Raponce,Campanula rapunculus,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/49/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Rood zwenkgras,Rood Zwenkgras,Festuca rubra,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/50/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Recht palmpjesmos,Muizenstaart-Dekmos,Isothecium alopecuroides,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/51/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Roze aardster,Gewone Geaster,Geastrum rufescens,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/52/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Spaanse aak,Kleine Ahorn. Veld-Eschdoorn,Acer campestre,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/53/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Serradelle,Serradella,Ornithopus sativus,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/54/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Spits havikskruid,Aurikel-Havikskruid,Hieracium lactucella,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/55/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Boskortsteel,Bosch-Kortsteel,Brachypodium sylvaticum,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/56/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Oorlepelzwam,,Auriscalpium vulgare,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/57/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Oranje havikskruid,Oranjegeel Havikskruid,Hieracium aurantiacum,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/58/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Papegaaienkruid,Harige Kattenstaart,Amaranthus retroflexus,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/59/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Bosbies,Boschbies,Scirpus sylvaticus,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/60/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Gewoon zijdemos,Zijdeachtig Dekmos,Homalothecium sericeum,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/61/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Kostgangerboleet,Woekerende Pijpzwam,Pseudoboletus parasiticus,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/62/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Vroeg barbarakruid,Vroege Barbarea,Barbarea verna,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/63/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Appel,Appelboom,Malus sylvestris,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/64/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Akkermunt,Akker-Munt,Mentha arvensis,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/65/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Zompzegge,Grijsachtig Rietgras,Carex curta,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/66/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Weerhuisje,Hygrometrische Aardster,Astraeus hygrometricus,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/67/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Nieuw-Nederlandse aster,Winter-Aster,Symphyotrichum novi-belgii,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/68/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Klein streepzaad,Uitgespreid Streepzaad,Crepis capillaris,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/69/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Moerasbeemdgras,Laat Beemdgras,Poa palustris,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/70/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Roodviltmos,Moeras Streepvrucht,Aulacomnium palustre,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/71/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Tepelaardster,Getepelde Aardster,Geastrum corollinum,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/72/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Nachtsilene,Knikkende Silene,Silene nutans,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/73/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Akkerklokje,Eenzijdig klokje. Duivelsch Naaigaren,Campanula rapunculoides,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/74/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Armbloemige waterbies,Armbloedige Bies,Eleocharis quinqueflora,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/75/zoom/3/lat/-65.98227002980873/lng/-25.224609375
cf. Schaduwgras,Woud-Beemdgras,Poa cf. nemoralis,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/76/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Zwarte bekerzwam,Zwartachtige Schotelzwam,Pseudoplectania nigrella,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/77/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Deens lepelblad,Regtopgroeijend Deensch Lepelblad,Cochlearia danica,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/78/zoom/3/lat/-65.98227002980873/lng/-25.224609375
,Struikachtige Braambes,Rubus cf. nessensis,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/79/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Voorjaarszegge,Vroeg Rietgras,Carex caryophyllea,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/80/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Ruig haarmos,Haarbladig Polytrichum (Vrouwenhaar),Polytrichum piliferum,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/81/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Gewimperde aardster,Franje-Aardster,Geastrum fimbriatum,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/82/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Strobloem,Zand-Roerkruid. Immortelle.,Helichrysum arenarium,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/83/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Blauwe bremraap,Blaauwe Bremraap,Orobanche purpurea,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/84/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Hollandse iep,Kurk-Iep,Ulmus x hollandica,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/85/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Akkerdravik,Akker-Dravik,Bromus arvensis,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/86/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Zwarte kluifzwam,Gegroefde Helvella,Helvella lacunosa,https://galerij.kb.nl/kb.html#/nl/florabatava15/page/87/zoom/3/lat/-65.98227002980873/lng/-25.224609375
Engelse alant,Lancetbladige Alant,Inula britannica,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/8/zoom/3/lat/-66.12496236487968/lng/-29.267578125
Geoorde wilg,Geoorde Wilg,Salix aurita,https://galerij.kb.nl/kb.html#/nl/florabatava16/page/9/zoom/3/lat/-66.12496236487968/lng/-29.267578125
