Volume;File name;File type;Species name RAW;Species name CURRENT;Genus;Epithet;Group;Family;Dutch common name;Link.KB;;;;;;;;;;;;;
1;KW_T_423_1_0080R.tif.jpg;illustration;Verbena officinalis;Verbena officinalis;Verbena;officinalis;Fungi;Entolomataceae;Staalsteeltje spec.;https://galerij.kb.nl/kb.html#/nl/florabatava27/page/62/zoom/3/lat/-66.23145747862573/lng/-39.55078125;;;;;;;;;;;;;
1;KW_T_423_1_0082R.tif.jpg;illustration;Eriophorum polystachion;Eriophorum angustifolium;Eriophorum;angustifolium;Flowering plants;Asparagaceae;Basterdhyacint;https://galerij.kb.nl/kb.html#/nl/florabatava01/page/51/zoom/3/lat/-67.06743335108297/lng/-51.328125;;;;;;;;;;;;;
1;KW_T_423_1_0084R.tif.jpg;illustration;Galium verum;Galium verum;Galium;verum;Flowering plants;Fabaceae;;https://galerij.kb.nl/kb.html#/nl/florabatava24/page/39/zoom/3/lat/-65.6220226151064/lng/-26.103515625;;;;;;;;;;;;;
1;KW_T_423_1_0086R.tif.jpg;illustration;Cynoglossum officinale;Cynoglossum officinale;Cynoglossum;officinale;Flowering plants;Poaceae;cf. Schaduwgras;https://galerij.kb.nl/kb.html#/nl/florabatava15/page/77/zoom/3/lat/-65.98227002980873/lng/-25.224609375;;;;;;;;;;;;;
1;KW_T_423_1_0088R.tif.jpg;illustration;Scandix pecten;Scandix pecten-veneris;Scandix;pecten-veneris;Flowering plants;Rosaceae;;https://galerij.kb.nl/kb.html#/nl/florabatava15/page/80/zoom/3/lat/-65.98227002980873/lng/-25.224609375;;;;;;;;;;;;;
1;KW_T_423_1_0090R.tif.jpg;illustration;Hyacinthus non-scripta;Hyacinthoides × massartiana;Hyacinthoides;× massartiana;Flowering plants;Asteraceae;Nieuw-Nederlandse aster;https://galerij.kb.nl/kb.html#/nl/florabatava15/page/69/zoom/3/lat/-65.98227002980873/lng/-25.224609375;;;;;;;;;;;;;
1;KW_T_423_1_0092R.tif.jpg;illustration;Agrimonia eupatoria;Agrimonia eupatoria;Agrimonia;eupatoria;Flowering plants;Poaceae;Basterdkweek;https://galerij.kb.nl/kb.html#/nl/florabatava19/page/15/zoom/3/lat/-68.6885206018014/lng/-21.357421875;;;;;;;;;;;;;
1;KW_T_423_1_0094R.tif.jpg;illustration;Malva sylvestris;Malva sylvestris;Malva;sylvestris;Flowering plants;Alismataceae;(Smalle of slanke) waterweegbree;https://galerij.kb.nl/kb.html#/nl/florabatava04/page/35/zoom/3/lat/-68.46379955520322/lng/-47.98828124999999;;;;;;;;;;;;;
1;KW_T_423_1_0096R.tif.jpg;illustration;Spartium scoparium;Cytisus scoparius;Cytisus;scoparius;Flowering plants;Plantaginaceae;cf. Klein sterrenkroos;https://galerij.kb.nl/kb.html#/nl/florabatava13/page/71/zoom/3/lat/-66.5482634621744/lng/-29.091796875;;;;;;;;;;;;;
1;KW_T_423_1_0098R.tif.jpg;illustration;Tussilago Farfara;Tussilago farfara;Tussilago;farfara;Mosses;Sphagnaceae;cf. Wrattig veenmos;https://galerij.kb.nl/kb.html#/nl/florabatava11/page/58/zoom/3/lat/-68.56038368664157/lng/-35.77148437499999;;;;;;;;;;;;;
