plant_id,volume,species_raw,species_current,genus,epithet,group,family,dutch_name,kb_link,multi_species,all_species
KW_T_423_24_0162L,24,Collybia tuberosa,Collybia tuberosa,Collybia,tuberosa,Fungi,Marasmiaceae,Breedplaatstreephoed,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/41/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Collybia tuberosa
KW_T_423_24_0164L,24,Tricholoma putidum,Lyophyllum spec. ,Lyophyllum,spec.,Flowering plants,Rosaceae,Naaldroggebraam,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/42/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Lyophyllum spec. 
KW_T_423_24_0166L,24,Reticularia lycoperdon,Reticularia lycoperdon,Reticularia,lycoperdon,Flowering plants,Rosaceae,Ruwe raspbraam,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/43/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Reticularia lycoperdon
KW_T_423_24_0169L,24,Iva xanthiifolia,Iva xanthifolia,Iva,xanthifolia,Fungi,Meruliaceae,Orane aderzwam,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/44/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Iva xanthifolia
KW_T_423_24_0171L,24,Crepis pulchra,Crepis pulchra,Crepis,pulchra,Fungi,Hymenochaetaceae,Roestkleurige borstelzwam,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/45/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Crepis pulchra
KW_T_423_24_0174L,24,Geaster bryantii,Geastrum striatum,Geastrum,striatum,Fungi,Auriscalpiaceae,Bruine anijszwam,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/46/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Geastrum striatum
KW_T_423_24_0176L,24,Ceriomyces alba,Postia ptychogaster anamorf,Postia,ptychogaster anamorf,Flowering plants,Brassicaceae,,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/47/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Postia ptychogaster anamorf
KW_T_423_25_0008L,25,Orobanche rubens,Orobanche lutea,Orobanche,lutea,Flowering plants,Rubiaceae,,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/48/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Orobanche lutea
KW_T_423_25_0010L,25,Calamagrostis pseudophragmites,Calamagrostis pseudophragmites ,Calamagrostis,pseudophragmites,Fungi,Psathyrellaceae,Vurige franjehoed,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/49/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Calamagrostis pseudophragmites 
KW_T_423_25_0012L,25,Badhamia utricularis,Badhamia utricularis,Badhamia,utricularis,Fungi,Exidiaceae,Stekeltrilzwam,https://galerij.kb.nl/kb.html#/nl/florabatava24/page/50/zoom/3/lat/-65.6220226151064/lng/-26.103515625,False,Badhamia utricularis
