plant_id,volume,species_raw,species_current,genus,epithet,group,family,dutch_name,kb_link,multi_species,all_species
KW_T_423_4_0013L,4,Utricularia vulgaris,Utricularia australis,Utricularia,australis,Flowering plants,Poaceae,Ruwe smele,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/76/zoom/3/lat/-67.06743335108297/lng/-51.328125,False,Utricularia australis
KW_T_423_4_0015L,4,Salvia pratensis,Salvia pratensis,Salvia,pratensis,Flowering plants,Araliaceae,Gewone waternavel,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/77/zoom/3/lat/-67.06743335108297/lng/-51.328125,False,Salvia pratensis
KW_T_423_4_0017L,4,Phalaris arenaria,Phleum arenarium,Phleum,arenarium,Flowering plants,Celastraceae,Parnassia,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/78/zoom/3/lat/-67.06743335108297/lng/-51.328125,False,Phleum arenarium
KW_T_423_4_0019L,4,Poa aquatica,Glyceria maxima,Glyceria,maxima,Flowering plants,Polygonaceae,Schapenzuring,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/79/zoom/3/lat/-67.06743335108297/lng/-51.328125,False,Glyceria maxima
KW_T_423_4_0021L,4,Briza media,Briza media,Briza,media,Flowering plants,Crassulaceae,Muurpeper,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/80/zoom/3/lat/-67.06743335108297/lng/-51.328125,False,Briza media
KW_T_423_4_0023L,4,Festuca duriuscula,Festuca ovina-groep,Festuca,ovina-groep,Flowering plants,Rosaceae,Vijfvingerkruid,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/81/zoom/3/lat/-67.06743335108297/lng/-51.328125,False,Festuca ovina-groep
KW_T_423_4_0025L,4,Triticum junceum,Elymus farctus subsp. boreoatlanticus,Elymus,farctus subsp. boreoatlanticus,Flowering plants,Lamiaceae,Grote tijm,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/82/zoom/3/lat/-67.06743335108297/lng/-51.328125,False,Elymus farctus subsp. boreoatlanticus
KW_T_423_4_0027L,4,Plantago major,Plantago major,Plantago,major,Flowering plants,Brassicaceae,Witte krodde,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/83/zoom/3/lat/-67.06743335108297/lng/-51.328125,False,Plantago major
KW_T_423_4_0029L,4,Plantago media,Plantago media,Plantago,media,Flowering plants,Asteraceae,Akker-melkdistel,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/84/zoom/3/lat/-67.06743335108297/lng/-51.328125,False,Plantago media
KW_T_423_4_0031L,4,Plantago maritima,Plantago maritima,Plantago,maritima,Flowering plants,Asteraceae,Canadese fijnstraal,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/85/zoom/3/lat/-67.06743335108297/lng/-51.328125,False,Plantago maritima
KW_T_423_4_0033L,4,Campanula rotundifolia,Campanula rotundifolia,Campanula,rotundifolia,Flowering plants,Scrophulariaceae,Zwarte toorts,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/86/zoom/3/lat/-67.06743335108297/lng/-51.328125,False,Campanula rotundifolia
KW_T_423_4_0035L,4,Impatiens Noli tangere,Impatiens noli-tangere,Impatiens,noli-tangere,Flowering plants,Celastraceae,Wilde kardinaalsmuts,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/87/zoom/3/lat/-67.06743335108297/lng/-51.328125,False,Impatiens noli-tangere
KW_T_423_4_0037L,4,Chironia centaurium,Centaurium littorale,Centaurium,littorale,Flowering plants,Ranunculaceae,Muizenstaart,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/88/zoom/3/lat/-67.06743335108297/lng/-51.328125,False,Centaurium littorale
KW_T_423_4_0039L,4,Chenopodium polyspermum,Chenopodium polyspermum,Chenopodium,polyspermum,Flowering plants,Juncaginaceae,Moeraszoutgras,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/89/zoom/3/lat/-67.06743335108297/lng/-51.328125,False,Chenopodium polyspermum
KW_T_423_4_0041L,4,Ulmus campestris,Ulmus glabra,Ulmus,glabra,Flowering plants,Polygonaceae,Veenwortel,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/90/zoom/3/lat/-67.06743335108297/lng/-51.328125,False,Ulmus glabra
KW_T_423_4_0043L,4,Caucalis scandicina (Scandix anthriscus),Anthriscus caucalis,Anthriscus,caucalis,Flowering plants,Lamiaceae,Gewone Brunel,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/92/zoom/3/lat/-67.06743335108297/lng/-51.328125,False,Anthriscus caucalis
KW_T_423_4_0045L,4,Angelica sylvestris,Angelica sylvestris,Angelica,sylvestris,Flowering plants,Asteraceae,Koninginnen-kruid,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/93/zoom/3/lat/-67.06743335108297/lng/-51.328125,False,Angelica sylvestris
KW_T_423_4_0047L,4,Cicuta virosa,Cicuta virosa,Cicuta,virosa,Flowering plants,Orchidaceae,Grote keverorchis,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/94/zoom/3/lat/-67.06743335108297/lng/-51.328125,False,Cicuta virosa
KW_T_423_4_0049L,4,Carum carvi,Carum carvi,Carum,carvi,Flowering plants,Salicaceae,Witte wilg,https://galerij.kb.nl/kb.html#/nl/florabatava01/page/95/zoom/3/lat/-67.06743335108297/lng/-51.328125,False,Carum carvi
KW_T_423_4_0051L,4,Apium graveolens,Apium graveolens,Apium,graveolens,Flowering plants,Plantaginaceae,Mannetjesereprijs,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/8/zoom/3/lat/-67.06743335108297/lng/-51.85546874999999,False,Apium graveolens
KW_T_423_4_0053L,4,Alsine media,Stellaria media,Stellaria,media,Flowering plants,Plantaginaceae,Rode waterereprijs,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/9/zoom/3/lat/-67.06743335108297/lng/-51.85546874999999,False,Stellaria media
KW_T_423_4_0055L,4,Narcissus Pseudo-Narcissus,Narcissus pseudonarcissus subsp. pseudonarcissus,Narcissus,pseudonarcissus subsp. pseudonarcissus,Flowering plants,Plantaginaceae,Handjesereprijs,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/10/zoom/3/lat/-67.06743335108297/lng/-51.85546874999999,False,Narcissus pseudonarcissus subsp. pseudonarcissus
KW_T_423_4_0057L,4,Ornithogalum nutans,Ornithogalum nutans,Ornithogalum,nutans,Flowering plants,Poaceae,Gewoon reukgras,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/11/zoom/3/lat/-67.06743335108297/lng/-51.85546874999999,False,Ornithogalum nutans
KW_T_423_4_0059L,4,Triglochin maritimum,Triglochin maritima,Triglochin,maritima,Flowering plants,Poaceae,Knolvossenstaart,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/12/zoom/3/lat/-67.06743335108297/lng/-51.85546874999999,False,Triglochin maritima
KW_T_423_4_0061L,4,Alisma Plantago,Alisma plantago-aquatica,Alisma,plantago-aquatica,Flowering plants,Poaceae,Grote windhalm,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/13/zoom/3/lat/-67.06743335108297/lng/-51.85546874999999,False,Alisma plantago-aquatica
KW_T_423_4_0063L,4,Alisma ranunculoides,Alisma (gramineum of lanceolatum),Alisma,(gramineum of lanceolatum),Flowering plants,Poaceae,Kropaar,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/14/zoom/3/lat/-67.06743335108297/lng/-51.85546874999999,False,Alisma (gramineum of lanceolatum)
KW_T_423_4_0065L,4,Polygonum Bistorta,Persicaria bistorta,Persicaria,bistorta,Flowering plants,Poaceae,Reuzenzwenkgras,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/15/zoom/3/lat/-67.06743335108297/lng/-51.85546874999999,False,Persicaria bistorta
KW_T_423_4_0067L,4,Butomus umbellatus,Butomus umbellatus,Butomus,umbellatus,Flowering plants,Caprifoliaceae,Beemdkroon,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/16/zoom/3/lat/-67.06743335108297/lng/-51.85546874999999,False,Butomus umbellatus
KW_T_423_4_0069L,4,Scleranthus perennis,Scleranthus annuus subsp. polycarpos,Scleranthus,annuus subsp. polycarpos,Flowering plants,Cornaceae,Rode kornoelje,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/17/zoom/3/lat/-69.53451763078357/lng/-46.40625,False,Scleranthus annuus subsp. polycarpos
KW_T_423_4_0071L,4,Dianthus prolifer,Petrorhagia prolifera,Petrorhagia,prolifera,Flowering plants,Potamogetonaceae,Schedefonteinkruid,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/18/zoom/3/lat/-69.53451763078357/lng/-46.40625,False,Petrorhagia prolifera
KW_T_423_4_0073L,4,Silene conica,Silene conica,Silene,conica,Flowering plants,Caryophyllaceae,Liggende vetmuur,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/19/zoom/3/lat/-69.53451763078357/lng/-46.40625,False,Silene conica
KW_T_423_4_0075L,4,Stellaria holostea,Stellaria holostea,Stellaria,holostea,Flowering plants,Boraginaceae,Scherpkruid,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/20/zoom/3/lat/-69.53451763078357/lng/-46.40625,False,Stellaria holostea
KW_T_423_4_0077L,4,Cerastium vulgatum,Cerastium fontanum subsp. vulgare,Cerastium,fontanum subsp. vulgare,Flowering plants,Boraginaceae,Kromhals,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/21/zoom/3/lat/-69.53451763078357/lng/-46.40625,False,Cerastium fontanum subsp. vulgare
KW_T_423_4_0079L,4,Lythrum Salicaria,Lythrum salicaria,Lythrum,salicaria,Flowering plants,Primulaceae,Grote wederik,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/22/zoom/3/lat/-69.53451763078357/lng/-46.40625,False,Lythrum salicaria
KW_T_423_4_0081L,4,Reseda Luteola,Reseda luteola,Reseda,luteola,Flowering plants,Scrophulariaceae,Mottenkruid,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/23/zoom/3/lat/-68.52823492039876/lng/-50.625,False,Reseda luteola
KW_T_423_4_0083L,4,Euphorbia Peplus,Euphorbia peplus,Euphorbia,peplus,Flowering plants,Solanaceae,Doornappel,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/24/zoom/3/lat/-68.52823492039876/lng/-50.625,False,Euphorbia peplus
KW_T_423_4_0085L,4,Euphorbia helioscopia,Euphorbia helioscopia,Euphorbia,helioscopia,Flowering plants,Primulaceae,Melkkruid,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/26/zoom/3/lat/-68.52823492039876/lng/-50.625,False,Euphorbia helioscopia
KW_T_423_4_0087L,4,Sorbus aucuparia,Sorbus aucuparia,Sorbus,aucuparia,Flowering plants,Amaranthaceae,Stekend loogkruid,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/27/zoom/3/lat/-68.52823492039876/lng/-50.625,False,Sorbus aucuparia
KW_T_423_4_0089L,4,Rosa canina,Rosa canina,Rosa,canina,Flowering plants,Apiaceae,Blauwe zeedistel,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/28/zoom/3/lat/-68.52823492039876/lng/-50.625,False,Rosa canina
KW_T_423_4_0091L,4,Rubus caesius,Rubus caesius,Rubus,caesius,Flowering plants,Apiaceae,Peen,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/29/zoom/3/lat/-68.52823492039876/lng/-50.625,False,Rubus caesius
KW_T_423_4_0093L,4,Potentilla Anserina,Potentilla anserina,Potentilla,anserina,Flowering plants,Apiaceae,Gevlekte scheerling,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/30/zoom/3/lat/-68.52823492039876/lng/-50.625,False,Potentilla anserina
KW_T_423_4_0095L,4,Papaver rhoeas,Papaver rhoeas,Papaver,rhoeas,Flowering plants,Apiaceae,Watertorkruid,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/31/zoom/3/lat/-68.52823492039876/lng/-50.625,False,Papaver rhoeas
KW_T_423_4_0097L,4,Anemone nemorosa,Anemone nemorosa,Anemone,nemorosa,Flowering plants,Amaryllidaceae,Kraailook,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/32/zoom/3/lat/-68.52823492039876/lng/-50.625,False,Anemone nemorosa
KW_T_423_4_0099L,4,Ranunculus sceleratus,Ranunculus sceleratus,Ranunculus,sceleratus,Flowering plants,Asparagaceae,Welriekende salomonszegel,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/34/zoom/3/lat/-68.52823492039876/lng/-50.625,False,Ranunculus sceleratus
KW_T_423_4_0101L,4,Ranunculus arvensis,Ranunculus arvensis,Ranunculus,arvensis,Flowering plants,Asparagaceae,Gewone salomonszegel,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/35/zoom/3/lat/-68.52823492039876/lng/-50.625,False,Ranunculus arvensis
KW_T_423_4_0103L,4,Hyssopus offinalis,Hyssopus officinalis,Hyssopus,officinalis,Flowering plants,Juncaceae,Pitrus,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/36/zoom/3/lat/-68.52823492039876/lng/-50.625,False,Hyssopus officinalis
KW_T_423_4_0105L,4,Nepeta cataria,Nepeta cataria,Nepeta,cataria,Flowering plants,Juncaceae,Ruige veldbies,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/37/zoom/3/lat/-68.52823492039876/lng/-50.625,False,Nepeta cataria
KW_T_423_4_0107L,4,Lamium purpureum,Lamium purpureum,Lamium,purpureum,Flowering plants,Onagraceae,Viltige basterdwederik,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/38/zoom/3/lat/-68.52823492039876/lng/-50.625,False,Lamium purpureum
KW_T_423_4_0109L,4,Stachys sylvatica,Stachys sylvatica,Stachys,sylvatica,Flowering plants,Polygonaceae,Perzikkruid,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/39/zoom/3/lat/-68.52823492039876/lng/-50.625,False,Stachys sylvatica
KW_T_423_4_0111L,4,Leonurus Cardiaca,Leonurus cardiaca,Leonurus,cardiaca,Flowering plants,Polygonaceae,Heggenduizendknoop,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/40/zoom/3/lat/-68.52823492039876/lng/-50.625,False,Leonurus cardiaca
KW_T_423_4_0113L,4,Cochlearia armoracia,Armoracia rusticana,Armoracia,rusticana,Flowering plants,Crassulaceae,Hemelsleutel,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/41/zoom/3/lat/-68.52823492039876/lng/-50.625,False,Armoracia rusticana
KW_T_423_4_0115L,4,Sisymbrium tenuifolium,Diplotaxis tenuifolia,Diplotaxis,tenuifolia,Flowering plants,Caryophyllaceae,Watermuur,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/42/zoom/3/lat/-68.52823492039876/lng/-50.625,False,Diplotaxis tenuifolia
KW_T_423_4_0117L,4,Cheiranthus Cheiri,Erysimum cheiri,Erysimum,cheiri,Flowering plants,Rosaceae,Gewone vogelkers,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/43/zoom/3/lat/-68.52823492039876/lng/-50.625,False,Erysimum cheiri
KW_T_423_4_0119L,4,Brassica Napus,Brassica napus,Brassica,napus,Flowering plants,Rosaceae,Duinroos,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/44/zoom/3/lat/-68.52823492039876/lng/-50.625,False,Brassica napus
KW_T_423_4_0121L,4,Sinapis nigra,Brassica nigra,Brassica,nigra,Flowering plants,Rosaceae,Framboos,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/45/zoom/3/lat/-68.52823492039876/lng/-50.625,False,Brassica nigra
KW_T_423_4_0123L,4,Althaea officinalis,Althaea officinalis,Althaea,officinalis,Flowering plants,Rosaceae,Tormentil,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/46/zoom/3/lat/-65.6582745198266/lng/-51.15234375,False,Althaea officinalis
KW_T_423_4_0125L,4,Vicia sepium,Vicia sepium,Vicia,sepium,Flowering plants,Rosaceae,Wateraardbei,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/47/zoom/3/lat/-69.34933863977649/lng/-49.04296875,False,Vicia sepium
KW_T_423_4_0127L,4,Ervum tetraspermum,Vicia tetrasperma subsp. gracilis,Vicia,tetrasperma subsp. gracilis,Flowering plants,Hydrocharitaceae,Krabbenscheer,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/48/zoom/3/lat/-69.34933863977649/lng/-49.04296875,False,Vicia tetrasperma subsp. gracilis
KW_T_423_4_0129L,4,Melilotus officinalis,Melilotus officinalis,Melilotus,officinalis,Flowering plants,Lamiaceae,Moerasandoorn,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/49/zoom/3/lat/-69.34933863977649/lng/-49.04296875,False,Melilotus officinalis
KW_T_423_4_0131L,4,Trifolium procumbens,Trifolium campestre,Trifolium,campestre,Flowering plants,Lamiaceae,Blauw glidkruid,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/50/zoom/3/lat/-69.34933863977649/lng/-49.04296875,False,Trifolium campestre
KW_T_423_4_0133L,4,Tragopogon porrifolium,Tragopogon porrifolius,Tragopogon,porrifolius,Flowering plants,Orobanchaceae,Stijve ogentroost,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/51/zoom/3/lat/-69.34933863977649/lng/-49.04296875,False,Tragopogon porrifolius
KW_T_423_4_0135L,4,Leontodon hirtum,Leontodon saxatilis,Leontodon,saxatilis,Flowering plants,Plantaginaceae,Muurleeuwenbek,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/52/zoom/3/lat/-69.34933863977649/lng/-49.04296875,False,Leontodon saxatilis
KW_T_423_4_0137L,4,Arctium lappa,Arctium lappa,Arctium,lappa,Flowering plants,Plantaginaceae,Kleine leeuwenbek,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/53/zoom/3/lat/-69.34933863977649/lng/-49.04296875,False,Arctium lappa
KW_T_423_4_0139L,4,Carduus lanceolatus,Cirsium vulgare,Cirsium,vulgare,Flowering plants,Scrophulariaceae,Knopig helmkruid,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/54/zoom/3/lat/-69.34933863977649/lng/-49.04296875,False,Cirsium vulgare
KW_T_423_4_0141L,4,Erigeron acre,Erigeron acris,Erigeron,acris,Flowering plants,Orobanchaceae,Walstrobremraap,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/55/zoom/3/lat/-69.34933863977649/lng/-49.04296875,False,Erigeron acris
KW_T_423_4_0143L,4,Senecio viscosus,Senecio viscosus,Senecio,viscosus,Flowering plants,Brassicaceae,Zeeraket,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/56/zoom/3/lat/-69.34933863977649/lng/-49.04296875,False,Senecio viscosus
KW_T_423_4_0145L,4,Senecio paludosus,Jacobaea paludosa,Jacobaea,paludosa,Flowering plants,Brassicaceae,Peperkers,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/57/zoom/3/lat/-69.34933863977649/lng/-49.04296875,False,Jacobaea paludosa
KW_T_423_4_0147L,4,Matricaria Chamomilla,Matricaria chamomilla,Matricaria,chamomilla,Flowering plants,Brassicaceae,Herderstasje,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/58/zoom/3/lat/-68.78414378041504/lng/-51.15234375,False,Matricaria chamomilla
KW_T_423_4_0149L,4,Anthemius cotula,Anthemis cotula,Anthemis,cotula,Flowering plants,Brassicaceae,Echt lepelblad,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/59/zoom/3/lat/-68.78414378041504/lng/-51.15234375,False,Anthemis cotula
KW_T_423_4_0151L,4,Anthemis tinctoria,Anthemis tinctoria,Anthemis,tinctoria,Flowering plants,Brassicaceae,Bosveldkers,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/60/zoom/3/lat/-68.78414378041504/lng/-51.15234375,False,Anthemis tinctoria
KW_T_423_4_0153L,4,Ophrys monorchis,Herminium monorchis,Herminium,monorchis,Flowering plants,Brassicaceae,Gewone raket,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/61/zoom/3/lat/-68.78414378041504/lng/-51.15234375,False,Herminium monorchis
KW_T_423_4_0155L,4,Malaxis (Ophrys) Loeselii,Liparis loeselii,Liparis,loeselii,Flowering plants,Brassicaceae,Herik,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/62/zoom/3/lat/-68.78414378041504/lng/-51.15234375,False,Liparis loeselii
KW_T_423_4_0157L,4,Typha angustifolia,Typha angustifolia,Typha,angustifolia,Flowering plants,Malvaceae,Klein kaasjeskruid,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/63/zoom/3/lat/-68.78414378041504/lng/-51.15234375,False,Typha angustifolia
KW_T_423_4_0159L,4,Sparganium simplex,Sparganium emersum,Sparganium,emersum,Flowering plants,Papaveraceae,Gewone duivenkervel,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/64/zoom/3/lat/-68.78414378041504/lng/-51.15234375,False,Sparganium emersum
KW_T_423_4_0161L,4,Alnus glutinosa,Alnus glutinosa,Alnus,glutinosa,Flowering plants,Fabaceae,Stekelbrem,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/65/zoom/3/lat/-68.78414378041504/lng/-51.15234375,False,Alnus glutinosa
KW_T_423_4_0163L,4,Sagittaria sagittifolia,Sagittaria sagittifolia,Sagittaria,sagittifolia,Flowering plants,Fabaceae,Gaspeldoorn,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/66/zoom/3/lat/-68.78414378041504/lng/-51.15234375,False,Sagittaria sagittifolia
KW_T_423_4_0165L,4,Atriplex laciniata,Atriplex laciniata,Atriplex,laciniata,Flowering plants,Fabaceae,Bont kroonkruid,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/68/zoom/3/lat/-68.78414378041504/lng/-51.15234375,False,Atriplex laciniata
KW_T_423_4_0167L,4,Acer pseudo-platanus,Acer pseudoplatanus,Acer,pseudoplatanus,Flowering plants,Hypericaceae,Gevleugeld hertshooi,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/69/zoom/3/lat/-68.78414378041504/lng/-51.15234375,False,Acer pseudoplatanus
KW_T_423_5_0010R,5,Caucalis anthriscus,Torilis japonica,Torilis,japonica,Flowering plants,Asteraceae,Vertakte leeuwentand,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/70/zoom/3/lat/-68.78414378041504/lng/-51.15234375,False,Torilis japonica
KW_T_423_5_0012R,5,Saxifraga Tridactylites,Saxifraga tridactylites,Saxifraga,tridactylites,Flowering plants,Asteraceae,Ruige leeuwentand,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/71/zoom/3/lat/-68.78414378041504/lng/-51.15234375,False,Saxifraga tridactylites
KW_T_423_5_0014R,5,Thalictrum flavum,Thalictrum flavum,Thalictrum,flavum,Flowering plants,Asteraceae,Knikkende distel,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/73/zoom/3/lat/-68.78414378041504/lng/-54.31640625,False,Thalictrum flavum
KW_T_423_5_0016R,5,Trifolium pratense,Trifolium pratense,Trifolium,pratense,Flowering plants,Asteraceae,Kale jonker,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/74/zoom/3/lat/-68.78414378041504/lng/-54.31640625,False,Trifolium pratense
KW_T_423_5_0018R,5,Centaurea Cyanus,Centaurea cyanus,Centaurea,cyanus,Flowering plants,Asteraceae,Wegdistel,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/75/zoom/3/lat/-68.78414378041504/lng/-54.31640625,False,Centaurea cyanus
KW_T_423_5_0020R,5,Hyoscyamus niger,Hyoscyamus niger,Hyoscyamus,niger,Flowering plants,Asteraceae,Zulte,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/76/zoom/3/lat/-68.78414378041504/lng/-54.31640625,False,Hyoscyamus niger
KW_T_423_5_0022R,5,Lobelia Dortmanna,Lobelia dortmanna,Lobelia,dortmanna,Flowering plants,Asteraceae,Moerasandijvie,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/77/zoom/3/lat/-68.78414378041504/lng/-54.31640625,False,Lobelia dortmanna
KW_T_423_5_0024R,5,Ranunculus hederaceus,Ranunculus hederaceus,Ranunculus,hederaceus,Flowering plants,Asteraceae,Heelblaadjes,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/78/zoom/3/lat/-68.78414378041504/lng/-54.31640625,False,Ranunculus hederaceus
KW_T_423_5_0026R,5,Prenanthes muralis,Mycelis muralis,Mycelis,muralis,Flowering plants,Asteraceae,Kalketrip,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/79/zoom/3/lat/-68.78414378041504/lng/-54.31640625,False,Mycelis muralis
KW_T_423_5_0028R,5,Urtica urens,Urtica urens,Urtica,urens,Flowering plants,Orchidaceae,Herfstschroeforchis,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/80/zoom/3/lat/-68.78414378041504/lng/-54.31640625,False,Urtica urens
KW_T_423_5_0030L,5,Villarsia (Menyanthes ) nymphoides,Nymphoides peltata,Nymphoides,peltata,Flowering plants,Aristolochiaceae,Pijpbloem,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/81/zoom/3/lat/-68.78414378041504/lng/-54.31640625,False,Nymphoides peltata
KW_T_423_5_0032L,5,Chenopodium hybridum,Chenopodium hybridum,Chenopodium,hybridum,Flowering plants,Haloragaceae,Aarvederkruid,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/82/zoom/3/lat/-68.78414378041504/lng/-54.31640625,False,Chenopodium hybridum
KW_T_423_5_0034L,5,Galeopsis Tetrahit,Galeopsis tetrahit,Galeopsis,tetrahit,Flowering plants,Cucurbitaceae,Heggenrank,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/83/zoom/3/lat/-68.78414378041504/lng/-54.31640625,False,Galeopsis tetrahit
KW_T_423_5_0036L,5,Artemisia vulgaris,Artemisia vulgaris,Artemisia,vulgaris,Flowering plants,Elaeagnaceae,Duindoorn,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/84/zoom/3/lat/-68.78414378041504/lng/-54.31640625,False,Artemisia vulgaris
KW_T_423_5_0038L,5,Myriophyllum verticillatum,Myriophyllum verticillatum,Myriophyllum,verticillatum,Flowering plants,Cannabaceae,Hop (mannelijke plant),https://galerij.kb.nl/kb.html#/nl/florabatava02/page/85/zoom/3/lat/-68.78414378041504/lng/-54.31640625,False,Myriophyllum verticillatum
KW_T_423_5_0040L,5,Iris Pseud-acorus,Iris pseudacorus,Iris,pseudacorus,Flowering plants,Cannabaceae,Hop (mannelijke plant),https://galerij.kb.nl/kb.html#/nl/florabatava02/page/85/zoom/3/lat/-68.78414378041504/lng/-54.31640625,False,Iris pseudacorus
KW_T_423_5_0042L,5,Chenopodium glaucum,Chenopodium glaucum,Chenopodium,glaucum,Ferns,Dryopteridaceae,Mannetjesvaren,https://galerij.kb.nl/kb.html#/nl/florabatava02/page/88/zoom/3/lat/-68.78414378041504/lng/-54.31640625,False,Chenopodium glaucum
KW_T_423_5_0044L,5,Epilobium montanum,Epilobium montanum,Epilobium,montanum,Flowering plants,Caprifoliaceae,Veldsla,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/9/zoom/3/lat/-69.162557908105/lng/-39.19921875,False,Epilobium montanum
KW_T_423_5_0046L,5,Geranium pratense,Geranium pratense,Geranium,pratense,Flowering plants,Cyperaceae,Knopbies,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/10/zoom/3/lat/-69.162557908105/lng/-39.19921875,False,Geranium pratense
KW_T_423_5_0048L,5,Littorella lacustris,Littorella uniflora,Littorella,uniflora,Flowering plants,Poaceae,Bosgierstgras,https://galerij.kb.nl/kb.html#/nl/florabatava03/page/11/zoom/3/lat/-69.162557908105/lng/-39.19921875,False,Littorella uniflora
