plant_id,dinov2
KW_T_423_14_0134L,5
KW_T_423_14_0136L,4
KW_T_423_14_0138L,21
KW_T_423_14_0142L,7
KW_T_423_14_0143L,1
KW_T_423_14_0145L,4
KW_T_423_14_0147L,1
KW_T_423_14_0149L,7
KW_T_423_14_0150L,1
KW_T_423_14_0152L,5
KW_T_423_14_0154L,4
KW_T_423_14_0156L,22
KW_T_423_14_0158L,1
KW_T_423_14_0159L,7
KW_T_423_14_0161L,3
KW_T_423_14_0163L,4
KW_T_423_15_0009L,14
KW_T_423_15_0011L,18
KW_T_423_15_0017L,4
KW_T_423_15_0020L,9
KW_T_423_15_0022L,19
KW_T_423_15_0024L,5
KW_T_423_15_0026L,3
KW_T_423_15_0028L,4
KW_T_423_15_0030L,8
KW_T_423_15_0032L,19
KW_T_423_15_0034L,5
KW_T_423_15_0036L,4
KW_T_423_15_0038L,4
KW_T_423_15_0040L,22
KW_T_423_15_0042L,1
KW_T_423_15_0043L,7
KW_T_423_15_0045L,3
KW_T_423_15_0047L,4
KW_T_423_15_0049L,7
KW_T_423_15_0051L,1
KW_T_423_15_0052L,7
KW_T_423_15_0054L,4
KW_T_423_15_0056L,4
KW_T_423_15_0058L,22
KW_T_423_15_0060L,15
KW_T_423_15_0062L,18
KW_T_423_15_0064L,3
KW_T_423_15_0066L,4
KW_T_423_15_0070L,20
KW_T_423_15_0072L,5
KW_T_423_15_0074L,3
KW_T_423_15_0076L,4
KW_T_423_15_0078L,21
KW_T_423_15_0080L,22
KW_T_423_15_0084L,5
KW_T_423_15_0086L,4
KW_T_423_15_0092L,5
KW_T_423_15_0094L,3
KW_T_423_15_0096L,4
KW_T_423_15_0098L,10
KW_T_423_15_0100L,8
KW_T_423_15_0104L,5
KW_T_423_15_0106L,4
KW_T_423_15_0108L,14
KW_T_423_15_0110L,18
KW_T_423_15_0112L,5
KW_T_423_15_0114L,3
KW_T_423_15_0116L,4
KW_T_423_15_0118L,22
KW_T_423_15_0120L,7
KW_T_423_15_0122L,19
KW_T_423_15_0124L,5
KW_T_423_15_0126L,4
KW_T_423_15_0128L,22
KW_T_423_15_0130L,5
KW_T_423_15_0132L,5
KW_T_423_15_0134L,3
KW_T_423_15_0136L,4
KW_T_423_15_0138L,22
KW_T_423_15_0140L,17
KW_T_423_15_0142L,5
KW_T_423_15_0144L,5
KW_T_423_15_0146L,4
KW_T_423_15_0150L,2
KW_T_423_15_0152L,5
KW_T_423_15_0154L,3
KW_T_423_15_0156L,4
KW_T_423_15_0158L,22
KW_T_423_15_0162L,1
KW_T_423_15_0165L,5
KW_T_423_15_0167L,4
KW_T_423_16_0009L,22
KW_T_423_16_0011L,1
KW_T_423_16_0013L,5
KW_T_423_16_0015L,3
KW_T_423_16_0017L,4
KW_T_423_16_0019L,21
KW_T_423_16_0021L,3
KW_T_423_16_0023L,5
KW_T_423_16_0025L,5
KW_T_423_16_0027L,3
KW_T_423_16_0033L,17
KW_T_423_16_0035L,4
KW_T_423_16_0037L,3
KW_T_423_16_0041L,9
KW_T_423_16_0043L,5
KW_T_423_16_0045L,5
KW_T_423_16_0047L,4
KW_T_423_16_0051L,9
KW_T_423_16_0053L,15
KW_T_423_16_0055L,3
KW_T_423_16_0057L,4
KW_T_423_16_0059L,13
KW_T_423_16_0063L,5
KW_T_423_16_0065L,3
KW_T_423_16_0067L,4
KW_T_423_16_0069L,14
KW_T_423_16_0071L,1
KW_T_423_16_0075L,3
KW_T_423_16_0079L,2
KW_T_423_16_0081L,5
KW_T_423_16_0083L,19
KW_T_423_16_0085L,3
KW_T_423_16_0087L,4
KW_T_423_16_0089L,7
KW_T_423_16_0091L,20
KW_T_423_16_0093L,5
KW_T_423_16_0095L,3
KW_T_423_16_0097L,4
KW_T_423_16_0099L,10
KW_T_423_16_0101L,9
KW_T_423_16_0103L,20
KW_T_423_16_0105L,5
KW_T_423_16_0107L,4
KW_T_423_16_0109L,8
KW_T_423_16_0111L,7
KW_T_423_16_0113L,5
KW_T_423_16_0115L,3
KW_T_423_16_0117L,4
KW_T_423_16_0119L,20
KW_T_423_16_0121L,20
KW_T_423_16_0123L,5
KW_T_423_16_0125L,3
KW_T_423_16_0127L,4
KW_T_423_16_0132L,18
KW_T_423_16_0134L,5
KW_T_423_16_0136L,3
KW_T_423_16_0138L,4
KW_T_423_16_0140L,21
KW_T_423_16_0142L,5
KW_T_423_16_0144L,17
KW_T_423_16_0146L,3
KW_T_423_16_0148L,4
KW_T_423_16_0150L,10
KW_T_423_16_0152L,11
KW_T_423_16_0154L,21
KW_T_423_16_0156L,3
KW_T_423_16_0158L,4
KW_T_423_16_0160L,12
KW_T_423_16_0162L,15
KW_T_423_16_0164L,5
KW_T_423_16_0168L,4
KW_T_423_17_0009L,10
KW_T_423_17_0011L,22
KW_T_423_17_0015L,3
KW_T_423_17_0017L,4
KW_T_423_17_0019L,22
KW_T_423_17_0021L,22
KW_T_423_17_0023L,22
KW_T_423_17_0025L,3
KW_T_423_17_0027L,16
KW_T_423_17_0029L,22
KW_T_423_17_0033L,19
KW_T_423_17_0035L,3
KW_T_423_17_0037L,4
KW_T_423_17_0041L,9
KW_T_423_17_0043L,1
KW_T_423_17_0045L,3
KW_T_423_17_0047L,4
KW_T_423_17_0049L,18
KW_T_423_17_0051L,21
KW_T_423_17_0053L,5
KW_T_423_17_0055L,3
KW_T_423_17_0057L,4
KW_T_423_17_0059L,5
KW_T_423_17_0063L,9
KW_T_423_17_0065L,3
KW_T_423_17_0067L,4
KW_T_423_17_0069L,2
KW_T_423_17_0071L,21
KW_T_423_17_0073L,13
KW_T_423_17_0075L,3
KW_T_423_17_0077L,4
KW_T_423_17_0079L,9
KW_T_423_17_0081L,14
KW_T_423_17_0083L,3
KW_T_423_17_0085L,3
KW_T_423_17_0087L,4
KW_T_423_17_0091L,6
KW_T_423_17_0093L,6
KW_T_423_17_0095L,3
KW_T_423_17_0097L,4
KW_T_423_17_0099L,11
KW_T_423_17_0103L,5
KW_T_423_17_0105L,3
KW_T_423_17_0107L,4
KW_T_423_17_0111L,11
KW_T_423_17_0113L,6
KW_T_423_17_0115L,3
KW_T_423_17_0117L,4
KW_T_423_17_0121L,1
KW_T_423_17_0123L,3
KW_T_423_17_0125L,3
KW_T_423_17_0127L,4
KW_T_423_17_0131L,5
KW_T_423_17_0133L,5
KW_T_423_17_0135L,3
KW_T_423_17_0137L,4
KW_T_423_17_0141L,20
KW_T_423_17_0143L,5
KW_T_423_17_0145L,3
KW_T_423_17_0147L,4
KW_T_423_17_0149L,21
KW_T_423_17_0151L,10
KW_T_423_17_0153L,5
KW_T_423_17_0155L,3
KW_T_423_17_0157L,4
KW_T_423_17_0159L,11
KW_T_423_17_0161L,11
KW_T_423_17_0165L,3
KW_T_423_17_0167L,4
KW_T_423_18_0009L,10
KW_T_423_18_0011L,6
KW_T_423_18_0013L,5
KW_T_423_18_0015L,3
KW_T_423_18_0017L,4
KW_T_423_18_0019L,15
KW_T_423_18_0021L,1
KW_T_423_18_0023L,5
KW_T_423_18_0025L,3
KW_T_423_18_0027L,4
KW_T_423_18_0029L,22
KW_T_423_18_0035L,3
KW_T_423_18_0037L,4
KW_T_423_18_0039L,22
KW_T_423_18_0041L,9
KW_T_423_18_0043L,17
KW_T_423_18_0045L,3
KW_T_423_18_0047L,4
KW_T_423_18_0049L,22
KW_T_423_18_0051L,17
KW_T_423_18_0053L,5
KW_T_423_18_0055L,3
KW_T_423_18_0057L,4
KW_T_423_18_0059L,22
KW_T_423_18_0063L,3
KW_T_423_18_0065L,3
KW_T_423_18_0069L,14
KW_T_423_18_0071L,22
KW_T_423_18_0075L,3
KW_T_423_18_0077L,3
KW_T_423_18_0079L,12
KW_T_423_18_0081L,5
KW_T_423_18_0083L,5
KW_T_423_18_0085L,3
KW_T_423_18_0087L,4
KW_T_423_18_0089L,9
KW_T_423_18_0091L,22
KW_T_423_18_0093L,5
KW_T_423_18_0095L,3
KW_T_423_18_0097L,4
KW_T_423_18_0101L,19
KW_T_423_18_0101R,15
KW_T_423_18_0107L,4
KW_T_423_18_0109L,22
KW_T_423_18_0113L,5
KW_T_423_18_0115L,3
KW_T_423_18_0117L,4
KW_T_423_18_0119L,22
KW_T_423_18_0123L,22
KW_T_423_18_0125L,5
KW_T_423_18_0131L,9
KW_T_423_18_0133L,21
KW_T_423_18_0135L,5
KW_T_423_18_0137L,4
KW_T_423_18_0139L,9
KW_T_423_18_0141L,22
KW_T_423_18_0143L,7
KW_T_423_18_0145L,4
KW_T_423_18_0147L,4
KW_T_423_18_0149L,22
KW_T_423_18_0151L,1
KW_T_423_18_0153L,5
KW_T_423_18_0155L,4
KW_T_423_18_0157L,4
KW_T_423_18_0161L,19
KW_T_423_18_0163L,1
KW_T_423_18_0165L,4
KW_T_423_19_0013L,22
KW_T_423_19_0015L,5
KW_T_423_19_0017L,4
KW_T_423_19_0021L,5
KW_T_423_19_0023L,5
KW_T_423_19_0025L,4
KW_T_423_19_0027L,4
KW_T_423_19_0029L,7
KW_T_423_19_0031L,5
KW_T_423_19_0033L,3
KW_T_423_19_0035L,4
KW_T_423_19_0037L,4
KW_T_423_19_0039L,22
KW_T_423_19_0041L,22
KW_T_423_19_0043L,5
KW_T_423_19_0045L,4
KW_T_423_19_0047L,4
KW_T_423_19_0049L,15
KW_T_423_19_0051L,5
KW_T_423_19_0053L,21
KW_T_423_19_0055L,4
