genus,n_images,mean_pairwise_distance,std_pairwise_distance,color_space_volume,centroid_L,centroid_a,centroid_b
Althaea,1,,,,65.79442567387119,-3.678683132864884,16.18247627626576
Alyssum,1,,,,65.40197844076557,-2.4320498209363888,17.581728251508082
Amanita,11,12.395856984081007,4.945237864567367,818.845145960185,62.09697230515856,-0.03948858489635382,16.633108662367803
Amaranthus,5,12.628475281661682,4.643386691089975,229.2876294499858,54.8447663564004,-2.6506574863312458,19.508502939484988
Amblystegium,2,20.287347014675223,0.0,,58.34496972210893,-1.099330196032827,18.639610755971496
Ambrosia,3,16.17935585248237,3.72527794440511,,66.11679771063332,-1.2997128722152835,17.64828974811821
Amelanchier,2,17.663578769848296,0.0,,49.68993249495728,3.1382741043778806,11.557506290412336
Ammi,1,,,,71.0794044627463,0.9944381502465396,23.48616243536895
Amsinckia,2,14.411820053822026,0.0,,55.710010325932885,-1.89315067856188,16.431179575903485
Anacamptis,1,,,,70.34036865779139,-4.733161345591911,12.434571055904055
Anacyclus,1,,,,68.39417888518601,-0.06434903249710887,15.783763634566796
Anagallis,3,16.506502712238447,6.499295996223784,,52.887154689337194,-3.323336605400392,8.40946451903443
Anaptychia,1,,,,56.19931762556368,0.19972809657299945,16.13526525807186
Anchusa,2,7.011639858632726,0.0,,62.56480888333779,-3.913626455918343,16.49157395222128
Andromeda,1,,,,70.21763213277285,-1.8658393743517805,15.513570540477236
Anemone,5,12.324106269362346,4.766370463528852,163.11321826045827,62.62244904697333,-1.7900176878099359,15.800464531784424
Angelica,1,,,,56.67525823582907,-2.036912545866584,14.041648946651081
Anisantha,2,8.884550889982478,0.0,,57.37014729022842,-2.6562654029052037,11.729834720282826
Antennaria,1,,,,60.227993333473115,-2.317327064492784,13.47612583334747
Anthemis,5,9.259856435996076,2.5974988995156196,11.503497166915,60.486921340157764,-2.085040424835486,19.161836774538997
Anthericum,1,,,,59.35932639038976,0.7020657894678703,16.955527578035134
Anthoxanthum,2,14.134704169217121,0.0,,52.17509272589521,-2.461815845839325,11.130435395170123
Anthriscus,3,4.939767584006905,2.0151080874701535,,60.929840363418094,-2.385921346771886,16.80248406829044
Anthyllis,1,,,,51.86727313192722,-1.3246022281345984,16.24648284656086
Apera,1,,,,65.14941450194573,-3.9667687569561405,20.18998886060161
Aphanes,1,,,,67.71438002594634,-1.8717483672486315,16.192233748089414
Apium,2,7.46629172382672,0.0,,66.95846757776314,-1.4751483247201032,14.091983652039755
Aquilegia,1,,,,51.96296496396705,-1.9299916080721025,17.121332741006633
Arabidopsis,1,,,,64.64970315856074,-1.8200312071341864,18.29419168111778
Arabis,2,7.322440371224744,0.0,,54.47887710506447,-0.9404214821113993,7.697075572221608
Arctium,4,17.550455523298364,9.15547421511459,182.2275033098864,68.02291375719687,0.31920902758917163,19.634200685386368
Arcyria,2,31.767123592774755,0.0,,60.02991343370713,11.076748558256583,25.965039906217285
Arenaria,1,,,,62.89731874582142,-1.1783555738775022,16.000898852285545
Aristolochia,1,,,,52.758106267302956,-3.5964183625832407,13.371939991147826
Armeria,1,,,,51.937825803794155,-2.0226622084521058,13.243319342828052
Armillaria,2,6.47314453369583,0.0,,59.801443892578654,-4.586126275800852,15.425005112841797
Armoracia,1,,,,61.32041100723187,-3.157080138908441,13.423605565725488
Arnica,1,,,,68.69612745766965,-5.8058081493592475,27.717170687062108
Arnoseris,1,,,,59.815570942287934,-7.097054499084246,24.43282474304725
Arrhenatherum,1,,,,67.96438480149583,-1.9256379264141803,23.162060146844425
Artemisia,11,12.033385012435717,5.7876756132530165,986.9398999422168,67.08528649822149,-0.9057452555071233,16.54868682617657
Arum,3,25.07619929797447,9.86749968544533,,58.34295405659058,-0.45521804998280563,7.409793156697406
Asarum,1,,,,57.88092936674387,0.8073008183358006,19.352306208128482
Asclepias,1,,,,53.93026786517767,-0.29168598909238114,7.900386739460616
