mask_file,image_file,volume,illustration_order,family,genus,species,mean_L,mean_a,mean_b,std_L,std_a,std_b,median_L,median_a,median_b,color_diversity,color_spread,hue_concentration,red_intensity,yellow_intensity,green_intensity,blue_intensity,purple_intensity,conspicuousness,distinctiveness_global,distinctiveness_family,distinctiveness_genus
KW_T_423_13_0117L.tif_mask.png,KW_T_423_13_0117L.tif.jpg,13,1012,,Jacobaea,Jacobaea erucifolia,65.68478038281147,-7.157876542062971,22.723780689407807,11.715343656392657,3.056725380921926,8.04944500624097,67.47058147803165,-8.820310890485755,21.26243323421094,1.6048187093285589,5.93338668598926,0.011945822383704008,0.0,0.3402,0.8181,0.0,0.0,30.770113684511653,11.88624182578677,,13.863342532341594
KW_T_423_13_0119L.tif_mask.png,KW_T_423_13_0119L.tif.jpg,13,1013,Cyperaceae,Carex,Carex nigra,60.89248950294633,-2.091355244685633,24.72238534180962,14.37783720915255,7.392456672387825,6.433723213448909,59.51312391369301,-2.2160332472235664,24.300554739172895,1.605757988110759,5.333770096203473,0.05355900132413516,0.0,0.665,0.5688,0.0,0.0,30.7261528462762,8.112020566575543,10.902482647062135,10.902482647062135
KW_T_423_13_0121L.tif_mask.png,KW_T_423_13_0121L.tif.jpg,13,1014,,Pimpinella,Pimpinella major,53.46160118183341,-4.2567590515398885,21.410950319043888,24.273539550395466,5.390582850199879,10.968994942693511,56.62958593031999,-2.7908507248427243,23.929919153292623,1.6080004782484414,12.573646886320976,0.027508419551029784,0.0,0.3045,0.6013999999999999,0.0,0.0,33.475217039068035,8.291652208709246,,
KW_T_423_13_0123L.tif_mask.png,KW_T_423_13_0123L.tif.jpg,13,1015,,Gymnocarpium,Gymnocarpium dryopteris,52.11434395600894,-3.1351173421127214,13.73317471596086,23.30263284968126,5.431601712548562,7.51645081496656,53.8795433404289,-0.5175701715804266,11.911781781726976,1.6084125471233728,12.780319301903143,0.02325005895631016,0.0,0.0,0.293,0.0,0.0,26.33267622916137,7.1146326051138535,,
KW_T_423_13_0125L.tif_mask.png,KW_T_423_13_0125L.tif.jpg,13,1016,,Crassula,Crassula tillaea,63.908618307844655,-5.201676881588461,25.979833947329517,16.589296449916816,5.048533087618574,16.234059097526885,61.200989889153135,-2.202712331731608,16.77773290978022,1.5927923754762305,9.03373015086727,0.011775723188438114,0.0,0.0,0.7301,0.0,0.0,33.649285672561575,1.9327708396825833,,
KW_T_423_13_0127L.tif_mask.png,KW_T_423_13_0127L.tif.jpg,13,1017,,Thalictrum,Thalictrum minus,65.78974707443564,-8.496992364460086,22.376781583971926,17.523814896820483,6.8741044959687825,8.03810535980039,76.09052765726041,-11.916343578523792,21.34858860536356,1.6066060704534362,10.275242647678972,0.028284405611940677,0.0,0.0,0.881,0.0,0.0,34.175438447960545,20.22115295979834,,18.636028631201576
KW_T_423_13_0129L.tif_mask.png,KW_T_423_13_0129L.tif.jpg,13,1018,,Jacobaea,Jacobaea aquatica,49.09882091271882,-0.893000620680381,11.995419831287835,23.68840246913826,1.1229941778133314,4.4681379185559695,51.46586582325489,-0.8900704533716113,11.873717834706923,1.608124232898041,12.175681267119321,0.0034103415699012762,0.0,0.0,0.0,0.0,0.0,25.231543345482272,9.102700102229386,,7.749675632031184
KW_T_423_13_0131L.tif_mask.png,KW_T_423_13_0131L.tif.jpg,13,1019,,Corispermum,Corispermum marschallii,48.85821226107305,-0.4938825147980969,12.87372848838395,24.638755764615684,1.564213755663345,4.964062306049931,47.45040613630523,-1.528390336996325,13.286760282861877,1.6074145435273504,12.423929608163775,0.007463083735377629,0.0,0.0,0.0,0.0,0.0,26.84316495684692,12.33388677402046,,
KW_T_423_13_0133L.tif_mask.png,KW_T_423_13_0133L.tif.jpg,13,1020,,Pimpinella,Pimpinella saxifraga,59.65581006394099,-4.395201288823553,16.088192435048185,16.747657347985335,4.010737105685959,3.482116270244793,65.71406051894856,-4.203981061023386,14.543990542445611,1.6085482384043246,6.992593976741831,0.022810236624170144,0.0,0.0,0.547,0.0,0.0,25.23202821538679,6.974316929176186,,
KW_T_423_13_0135L.tif_mask.png,KW_T_423_13_0135L.tif.jpg,13,1021,,Monotropa,Monotropa hypopitys,59.25921953619936,-1.3235586767637182,16.14198977793854,17.90353470138131,3.4144916827490306,4.20947306895004,63.73596665259474,-1.0837167232818474,15.04341538813579,1.6087955175289699,8.526765526025109,0.013823150673326512,0.0,0.0,0.2975,0.0,0.0,24.980994381723427,4.496343790803768,,
