level,family,genus,n_images,centroid_L,centroid_a,centroid_b,mean_distinctiveness_global,std_distinctiveness_global
genus,Agaricaceae,Agaricus,2,64.6692300615089,5.529576232448999,22.08185632884463,12.984283567328054,12.070643676901858
genus,Agaricaceae,Cyathus,2,59.15132029360404,-1.9577837813553496,13.932530404064764,7.679910666455968,1.1484232848063511
genus,Amanitaceae,Amanita,11,62.09697230515856,-0.03948858489635382,16.633108662367803,8.632766469103466,3.45873124329999
genus,Apiaceae,Orlaya,1,60.23516868280079,3.1919915678673454,16.996783897474863,4.991044205512499,
genus,Apiaceae,Torilis,3,56.54803103124523,-0.9667497617283709,15.480906176050683,7.848062643896179,4.772476147363875
genus,Aristolochiaceae,Aristolochia,1,52.758106267302956,-3.5964183625832407,13.371939991147826,7.503244048560376,
genus,Asteraceae,Anthemis,5,60.486921340157764,-2.085040424835486,19.161836774538997,6.645704236823031,2.501364355860915
genus,Asteraceae,Cirsium,8,57.707620066964765,-0.9214764660675101,15.431199236746345,6.111475772913553,2.9193947061285628
genus,Asteraceae,Crepis,9,59.26805385015051,-0.7042805978271705,15.81230036861125,10.299094944615307,5.380713865285797
genus,Asteraceae,Hypochaeris,2,58.214280659185775,-4.844862988204711,22.9419262037116,11.098304074304252,6.5241891238728735
genus,Asteraceae,Inula,3,62.746803437220876,-2.166895171710078,13.781683127742717,6.4949438765225365,3.0276979164245605
genus,Asteraceae,Tussilago,1,64.98904389148144,-4.113171309283631,15.744353705373529,6.08722968536673,
genus,Auriscalpiaceae,Lentinellus,1,64.27897538425096,1.21674880224761,25.998119548199732,11.299668246348562,
genus,Bankeraceae,Phellodon,2,58.271880909587416,-1.1202975994275413,21.571790832738884,8.704527966083443,1.1083373393195166
genus,Boletaceae,Rubroboletus,1,44.3934939772969,-1.9871527541531935,3.9839647470579287,19.382661457418486,
genus,Brassicaceae,Erophila,1,66.57313832518179,-2.5217576550803016,16.172463486569857,7.191106863425591,
genus,Brassicaceae,Lepidium,10,61.059377772242755,-2.4077404364561428,16.985127842273705,11.418978520905325,7.5331392470803324
genus,Caprifoliaceae,Valerianella,4,63.852415851335095,-0.8070115111565789,15.33049867955691,8.782549796116287,4.145042807168101
genus,Caryophyllaceae,Dianthus,4,68.90343167430271,-2.282320271649123,14.95778783267521,10.324933221746898,3.8378123000520565
genus,Caryophyllaceae,Silene,16,62.27401980870222,-0.21293150772398173,18.048950316961502,8.570318754291034,6.113447113708303
genus,Cladoniaceae,Cladonia,2,61.1510561264863,-1.0762244312812967,14.854456626107616,5.508755035848406,1.8171619957551932
genus,Clitocybaceae,Clitocybe,11,58.942976063628834,-0.2857043853632575,18.660593548562545,9.759311983291795,3.8076657621191003
genus,Cortinariaceae,Cortinarius,19,59.85317487613038,-1.0237586089757666,17.093035272165864,7.650027157428361,5.191421712007731
genus,Crassulaceae,Sedum,7,58.039082205261224,-3.049803601403827,16.299349410784515,6.200368000911994,3.818080113082856
genus,Cyperaceae,Carex,58,57.369177774717386,-1.594693440822295,13.629024405259033,8.399406815459631,4.622377611496396
genus,Dryopteridaceae,Dryopteris,5,56.12831022637613,-3.022434833720607,15.380650794715743,6.0745337539922835,2.4884230196014294
genus,Equisetaceae,Equisetum,7,62.111934478684425,-0.981750927955953,16.158305612700648,6.143633087667451,3.4859778018537573
genus,Fabaceae,Trifolium,17,59.30876233426295,-3.272482357453338,16.131536719948052,8.204692684150295,6.387814850096451
genus,Fontinalaceae,Fontinalis,1,49.815615016847346,-1.0051814595171833,15.849959978469148,9.646673545400994,
genus,Gomphidiaceae ,Gomphidius,3,63.49322161132912,-6.565368894458973,18.67484671463707,9.58263779163771,8.070429573096426
genus,Grifolaceae,Grifola,2,56.75060216889029,-2.9449291195360647,8.259733101912438,8.796581394371351,1.3831284539084419
genus,Gymnosporangiaceae,Gymnosporangium,4,59.63923036257644,-1.566396703949936,9.707694473978217,10.045900275534155,4.588864801294958
genus,Helvellaceae,Helvella,4,53.074320105466775,-0.7857105552312417,13.698749539909228,8.972472349423388,5.757192205295548
genus,Hydnaceae,Cantharellus,2,59.70387950190366,1.4516861565335781,28.12483465888089,15.54094708884557,1.3628065791419846
genus,Hydrocharitaceae,Hydrocharis,1,63.58866404518267,-7.795823612696843,22.535702890486682,9.738640132862407,
genus,Hygrophoraceae,Hygrophorus,7,66.74353658032327,-6.482852202315034,19.91238879647452,13.12884842998312,2.5273562423841023
genus,Hymenochaetaceae,Coltricia,1,52.237242525187845,-0.5468902148813881,7.344904659079948,11.470782800419663,
genus,Inocybaceae,Inocybe,5,61.01082529795728,-3.265111485981995,17.11860861099458,9.304626133497333,4.245805168928498
genus,Isoetaceae,Isoetes,4,57.30393429483525,-5.444944672813325,17.609287502433368,8.224501257203364,2.9515299815169103
genus,Lamiaceae,Clinopodium,3,65.8728999864993,-0.6104711790379896,17.767346171140694,8.97375214650073,5.811675908100218
genus,Lycoperdaceae,Calvatia,3,62.38084770631744,-2.9141195452902,17.444097111120065,11.574478154768215,7.648767716450901
genus,Lycopodiaceae,Lycopodiella,1,63.274229621366025,-1.6895518021881255,15.960955484740008,3.8494821524291902,
genus,Melanthiaceae,Paris,1,53.64734986900133,-2.505894897095626,14.265487116377663,6.15944280029256,
genus,Onagraceae,Circaea,1,64.84173638093961,-1.519762877362812,14.543037090770191,5.661299627297725,
genus,Orchidaceae,Neotinea,1,66.63313690315906,-1.2747402859695578,17.36974806345951,7.304406919144713,
genus,Orobanchaceae,Orobanche,10,64.33359685648173,-0.8690936438135709,19.187618624405424,10.89367503674513,3.844005848246607
genus,Papaveraceae,Corydalis,2,52.018737794321595,-2.3435831943157024,12.314608128362917,8.745541563574095,5.08919342800956
genus,Parmeliaceae,Usnea,1,67.21865912161005,-3.8967682430335087,14.273001512529483,8.325829180334948,
genus,Plantaginaceae,Linaria,4,65.37399242660832,-3.2646955167457348,15.219416613841531,11.430941613847477,5.248335597522304
genus,Plantaginaceae,Veronica,20,56.90445365177767,-3.165257076414343,16.50998101257089,6.7411190077374155,3.789853478389773
genus,Poaceae,Avena,5,61.75599712998495,-1.714197447293159,14.500641333676505,9.651818623049376,1.584613221656251
genus,Poaceae,Hierochloe,1,62.984949339508844,-2.960212019251373,17.841207040071573,4.117247833395589,
genus,Poaceae,Molinia,1,55.1036623309199,-4.365284267064671,17.18435028904043,5.192036116567268,
genus,Poaceae,Phleum,3,66.74644431703838,-1.7519407331986276,15.471395553174737,7.496715326459953,2.769153071880134
genus,Poaceae,Poa,8,55.265594899477904,-2.3773724329086603,13.947177359370457,12.44122976747985,7.349201984277069
genus,Poaceae,Setaria,3,64.04007486948103,-5.22057104329743,9.97959338851141,16.186842466669912,13.845144054665676
genus,Polyporaceae,Trametes,5,56.10398270289782,0.4257801777231857,14.809740868066644,9.728971148783334,2.6107806250906846
genus,Polytrichaceae,Pogonatum,3,62.48268270547378,-2.2452147541311036,15.245433196524314,4.04376575669723,2.2351702969016585
genus,Porellaceae,Porella,1,63.39838595343029,-0.6724751384941462,15.923555102942846,4.099174350449607,
genus,Postiaceae,Postia,3,62.279456911002754,-0.9392125271308572,19.80393402508808,9.89921123222926,7.969445700666144
genus,Pottiaceae,Syntrichia,4,59.067827539104655,-1.5745196927437388,9.59181586711837,8.622216507925156,5.392850624009444
genus,Pucciniaceae,Puccinia,4,63.79485530877428,-2.096985444652513,13.674301052182617,6.566523726616541,4.075559566465434
genus,Ranunculaceae,Anemone,5,62.62244904697333,-1.7900176878099359,15.800464531784424,7.592037800436186,5.046091035044791
genus,Rosaceae,Comarum,1,62.865596358411274,-4.478102147822835,24.786241176991798,9.657433742718766,
genus,Rosaceae,Rubus,61,60.482157443630854,-0.7790207258185893,19.4018380917046,9.882679221114259,5.6663981620820305
genus,Russulaceae,Lactarius,17,61.340475593286385,-2.132713439470886,16.158391046579663,9.637244754868718,5.094075634101121
genus,Russulaceae,Russula,14,59.56400739068617,-1.0580914141035391,16.062609379024167,10.052116992863281,5.560856156198319
genus,Salicaceae,Salix,22,56.56700231355873,-0.0161794367837632,16.056296540444322,8.974294450987754,4.704938002903569
genus,Sapindaceae,Acer,2,65.1329970986528,-0.8727925076519091,12.888269050841812,9.271438226134059,1.5320981166606986
genus,Sclerodermataceae,Scleroderma,1,68.22463945914359,-1.9707980374398173,15.785673195967139,8.8071810746613,
genus,Serpulaceae,Serpula,1,69.73274809653573,-1.944996427927547,15.614588792134182,10.320754720233657,
genus,Squamanitaceae,Cystoderma,2,54.29988279343741,-6.463300730687475,17.577060367108448,7.273504451553741,3.3285530049053342
genus,Tricholomataceae,Tricholoma,12,62.803081529417334,-1.7421233060911532,16.13694346774303,9.082090965379324,4.013877562938389
