family,n_images,mean_pairwise_distance,std_pairwise_distance,color_space_volume,centroid_L,centroid_a,centroid_b
Gymnosporangiaceae,4,13.2937726106635,7.27335412017658,25.421002495388603,47.617321899610786,-1.0610056432247827,9.77135229495354
Helvellaceae,4,10.195851076580977,3.4912780081778343,11.892742001921489,47.08156951456225,-1.4076144503953614,9.905102434972196
Hydnaceae,2,5.583464090527186,0.0,,52.836619546261325,0.4172654059641234,18.712621148858624
Hydrocharitaceae,1,,,,48.83132961590772,-1.6420684873173497,14.820494234658256
Hygrophoraceae,7,12.62031605797764,5.30107377462064,415.398582798808,54.50507998302015,-6.455897628743934,18.73846938594459
Hymenochaetaceae,1,,,,47.36053052184973,-4.2498333355207585,8.492213604515664
Inocybaceae,5,8.895719204413743,3.923828787636055,23.319537417067224,45.824720084360976,-1.3935664111116575,14.850327460705358
Isoetaceae,4,8.547600658516062,2.664371635648794,39.78236954302225,47.74445933648948,-0.5512076723602419,13.488174474291416
Lamiaceae,3,11.369857073614035,1.633040860020547,,39.956148895288536,-0.1301050315466179,15.948411238865312
Lycoperdaceae,3,6.754942214682476,0.7401107646080737,,45.09414092376034,-6.012609163043525,11.18933929972793
Lycopodiaceae,1,,,,62.434902975776396,-2.0654342263735637,15.179290462102468
Melanthiaceae,1,,,,32.74996211000367,-2.6676034359200407,3.192101038181078
Onagraceae,1,,,,44.384046923337785,-3.580739274576361,13.79846101301344
Orchidaceae,1,,,,33.69097197734797,-0.7595873794341429,11.603743666621135
Orobanchaceae,10,14.868685581161163,8.102052168181805,388.95136781779024,54.481437263178506,-0.23591336697171422,15.310369295968602
Papaveraceae,2,3.922252790673469,0.0,,43.608820145344154,-1.4344325168477445,10.592412968016497
Parmeliaceae,1,,,,49.39317328342132,-4.180378843155252,9.663263454060411
Plantaginaceae,24,9.795200706965066,5.985207094185767,412.9703277436974,44.00946562838617,-2.5633946438724795,14.02015513803358
Poaceae,21,10.23163947470558,5.506233440918526,974.3189703616355,49.25729661354423,-3.287162822530665,13.465928453831289
Polyporaceae,5,11.59661830714364,5.114983148110703,37.30409915535549,49.67297150404936,0.04491765376529733,13.586905579658737
Polytrichaceae,3,2.227784177143198,0.7008868055653642,,47.29924114378114,-0.9368181241483087,14.036833123439651
Porellaceae,1,,,,39.780984365883704,-0.7244186528110597,10.997265164356818
Postiaceae,3,8.064533814202692,3.1401695941083765,,52.16836948562349,3.908537103823606,17.4534606856799
Pottiaceae,4,11.162037026300295,5.407436313354587,13.265544752338782,45.04748363918246,-1.7670206154244417,5.722424871612997
Pucciniaceae,4,6.810360868470387,3.6481887469822922,6.230741924201129,45.183036636384905,-1.221762504974827,14.22057082221777
Ranunculaceae,5,9.417762470595928,4.253733403649469,33.64404657537694,48.43368463075949,-1.7608271250485474,14.228308244317622
