,Agaricaceae,Amanitaceae,Apiaceae,Aristolochiaceae,Asteraceae,Auriscalpiaceae,Bankeraceae,Boletaceae,Brassicaceae,Caprifoliaceae,Caryophyllaceae,Cladoniaceae,Clitocybaceae,Cortinariaceae,Crassulaceae,Cyperaceae,Dryopteridaceae,Equisetaceae,Fabaceae,Fontinalaceae,Gomphidiaceae ,Grifolaceae,Gymnosporangiaceae,Helvellaceae,Hydnaceae,Hydrocharitaceae,Hygrophoraceae,Hymenochaetaceae,Inocybaceae,Isoetaceae,Lamiaceae,Lycoperdaceae,Lycopodiaceae,Melanthiaceae,Onagraceae,Orchidaceae,Orobanchaceae,Papaveraceae,Parmeliaceae,Plantaginaceae,Poaceae,Polyporaceae,Polytrichaceae,Porellaceae,Postiaceae,Pottiaceae,Pucciniaceae,Ranunculaceae,Rosaceae,Russulaceae,Salicaceae,Sapindaceae,Sclerodermataceae,Serpulaceae,Squamanitaceae,Tricholomataceae
Caryophyllaceae,2.9774060775895124,1.108328917369934,4.8363814293475205,11.475043950536483,3.928756251631308,9.264792647245663,6.792253318338488,22.84780740395898,2.810053320086068,1.8265874763277123,0.0,2.987858339928991,4.548582525706403,3.3858772820529315,5.855403117301956,6.782774773832236,7.699744523156648,1.4769985078312342,4.945936438345056,13.39417874454165,6.560585334817287,11.09788733886508,8.127348471891763,10.587728397685948,11.843782958500237,9.41342603211931,7.7911587656270775,14.518428762693961,3.6971594734314843,7.845709072135377,2.8777536959696843,2.8177314391783987,1.7326045020453698,10.116627074636128,3.1837714930514385,3.6616003057929927,2.63202228204252,12.222904767528506,6.072737222127571,6.3881692081803365,3.769643827914031,7.382716539827066,2.6862909582408827,1.1112658162968176,3.0873409797137,8.490824179454348,3.7898984064515053,1.9727806205355625,3.7094370054098014,3.359761899237102,6.639519881819132,4.538439173737527,5.480468668989009,6.925240275132211,10.82799270595302,1.717436736066846
Cladoniaceae,3.3075267082872233,2.2656525987772125,3.0977021322939304,8.887679132544637,1.9307149571575792,11.799272369683885,7.308499929351695,19.995331287224044,2.4636589005685954,2.7561632745629283,2.987858339928991,0.0,4.470706630887514,2.5881427234840855,3.9581702321069887,4.009126851239144,5.412263076635663,1.622416293801692,3.1382365846477716,11.379292560545801,7.086030378467003,8.145331829054053,5.3865616721528795,8.16417307107714,13.58630138247479,10.492687439269744,9.278477209170381,11.667460665321919,3.1523444345714853,6.440120813579161,5.567554313330111,3.4053610119247084,2.471512872193476,7.661360866245135,3.730258599715802,6.034841273914609,5.38031240400491,9.563276987817915,6.7163504635742814,4.461510439772757,1.848648683558966,5.2660200804384605,1.8145606629146307,2.5212053457958623,5.078325227414514,5.681859490787762,3.069917644066605,1.8892932268782743,4.6431060549515735,1.7262498743477361,4.856095543733457,4.445574432455203,7.190480331720778,8.658983933510662,9.130812572034086,2.194853467175075
Clitocybaceae,6.995012537419291,3.7575270425815033,2.540964034260769,8.785402545519426,3.1339720044794657,9.196169970481924,3.1019323277814617,20.73609868102741,3.8570421456655963,5.955156755711293,4.548582525706403,4.470706630887514,0.0,1.9571471240484777,3.746030226987215,5.432032901717016,5.115668264349813,4.097343424679812,3.9307468365068425,9.577370620576042,7.754941911059408,10.957001301079513,9.070796255201794,7.701365131675416,9.652427660008172,9.643691204232281,10.040935055185711,13.155983253625449,3.9408862803710263,5.5144775515116216,6.994798776542271,4.495263203289266,5.293258979756841,7.231173020461087,7.298804342210033,7.860219323717575,5.447650042888257,9.615168836575918,10.03880850175908,3.9840427489027554,5.610187120497526,4.836854344785211,5.29457498065367,5.243247882221322,3.586977109142344,9.160751138576286,7.189199130965002,4.897123435211355,1.841890577199959,3.1547014937966438,3.53557037342244,8.484147746495132,9.861743407616856,11.333603821415375,7.803528424807078,4.836360202681848
Cortinariaceae,5.2986155733673534,2.4929795164050352,1.7048600099594173,8.414578234362951,1.3567882049292572,10.193532732114654,4.750690661016184,20.2923037579515,2.2359567455705065,4.375779121762771,3.3858772820529315,2.5881427234840855,1.9571471240484777,0.0,2.832971545286092,4.300648726424003,4.560875344597929,2.444888366301971,2.5055185049459374,10.114256731217141,6.8162682040935785,9.557409730955428,7.408339021830195,7.58490042847243,11.307108985261403,9.45713352714493,9.231876384055267,12.379655871194565,2.5227903626894856,5.129525330637285,6.071457163863299,3.1758209679985643,3.6644918871687238,6.978826589690508,5.624433913439102,6.790246450534981,4.94827058606775,9.271122224063337,8.393874727042729,3.280072591961066,3.667404686557067,4.622881999550043,3.43800813975635,3.7496140501989674,3.6390884299910833,7.562301288220917,5.326950735720106,3.150677947376391,2.4465401421207202,1.22224536385626,3.590121599205999,6.751249694773418,8.525696366983324,10.031971398022204,7.788578287602335,3.183097334303935
Crassulaceae,6.8940214831084665,5.0635821114575235,2.2563295748688015,6.062773331125867,2.1811703471932358,12.296579950405869,5.6192372432865545,18.411952756996556,3.5303296622273797,6.30584143315152,5.855403117301956,3.9581702321069887,3.746030226987215,2.832971545286092,0.0,3.113961008205553,2.1203315193392833,4.5699957170944225,1.2999363667439172,8.48574352451743,6.910124704458475,8.142887071239251,6.943405861297172,6.044675319459184,12.762329780751957,9.60284693564221,10.030324135654956,10.959379540149007,3.090113287773945,2.8272037432963595,8.335109968372544,4.492191572792606,5.419553844626156,4.870292129285768,7.190393689954161,8.840496547135164,7.260751315388325,7.254064872714792,9.43864753405368,0.5598291617841262,4.137624071625439,4.247731900710775,4.63720691853679,5.874950948519122,5.892154584420418,6.944478800634539,6.397473356252281,4.779455855669193,4.550725542256792,2.5590065571714695,3.380675890632258,8.166913434032988,10.255422606253243,11.765683914340714,5.221697059474196,4.942883066151182
Cyperaceae,7.1098250652004085,5.81336610663511,2.907500734484551,5.033386087403484,3.1690697867680955,14.444515400177083,8.007962467790284,16.17249424589538,5.294349331838236,6.74891350415199,6.782774773832236,4.009126851239144,5.432032901717016,4.300648726424003,3.113961008205553,0.0,2.5780598840528905,5.40987089526363,3.5832292415595917,7.895339735156028,9.363324738357923,5.570912067910368,4.5310890398360115,4.370940093698609,14.995325128689982,12.508594905754048,12.298510770275948,8.180758643914016,5.313105594474236,5.53815723719031,9.50829595425568,6.435254501529932,6.349530532234554,3.8842471389351463,7.528623107982061,9.995815236475648,8.940223593679866,5.560191902774092,10.135410090985497,3.118875764931547,4.6287388428327345,2.6602863715283944,5.402211402418331,6.516648600471026,7.916438924005568,4.38005374197627,6.4454386199506954,5.687720355683416,6.647057314502553,3.8139699161349476,3.0044703276414317,7.832416609650109,11.074007271810189,12.526893039367307,6.979319206132862,5.986543544023212
Dryopteridaceae,8.537610989034995,6.789075492606753,3.271219305321045,3.9651798079694394,3.7896202552245155,14.040465204061588,6.822260351409946,16.39091743169996,5.5747230706280835,8.035696823445885,7.699744523156648,5.412263076635663,5.115668264349813,4.560875344597929,2.1203315193392833,2.5780598840528905,0.0,6.369685785970453,3.2774424552383192,6.643770246937956,8.811698373513277,7.14847698360486,6.828546013253388,4.1422919968919905,13.971996158143503,11.385819690748386,12.049654278318048,9.265092820446005,5.188289000521715,3.49534940253873,10.318474358375642,6.585117147056775,7.2922900867083,2.76867618736434,8.881633581526117,10.833389482798673,9.29820472019369,5.17204434962823,11.179766744480164,1.6622719427530264,5.700943762175977,3.4952420142089418,6.403155819913441,7.659703436438157,7.8575985676642555,6.651904246625328,7.908476434561378,6.62336278762939,6.346587310644636,4.364729002503479,3.1123173733874983,9.587351800939288,12.148710384411663,13.649041368094197,4.472909568516983,6.838402456930859
Equisetaceae,2.903256313938046,1.0552346306665712,3.7246336147697634,10.104178411860499,2.6000239259187476,10.312681786778146,6.638601420576699,21.521350843898922,1.7877341774280535,1.9352192617086537,1.4769985078312342,1.622416293801692,4.097343424679812,2.444888366301971,4.5699957170944225,5.40987089526363,6.369685785970453,0.0,3.6202128565827203,12.300207247339868,6.278353514768064,9.746045375233868,6.932997936839075,9.368368132280747,12.446612480046245,9.448995333061326,8.112150997691932,13.242910608529685,2.7107856267810844,6.718802915427718,4.107520142572022,2.336583526147081,1.3750851425534165,8.806529924616797,3.2171987320027315,4.689851483627721,3.7583523926681206,10.885826417045037,6.174976443354903,5.112787933561342,2.4765005479919533,6.3162690905392544,1.6022269302243735,1.3437695906123892,3.649723250067203,7.2620072601824734,3.2009762892367877,1.0207695717993135,3.663902068871169,2.030003455567427,5.62929896800948,4.453294331954588,6.2034048135608,7.700666858929188,9.648233248940006,1.0277678436324849
Fabaceae,5.759352106926905,4.298597211721127,2.6186922572745166,7.1155747166777905,1.7336534911115293,11.925001923448562,5.941665350156746,19.27902505797371,2.407998700648959,5.231156250705479,4.945936438345056,3.1382365846477716,3.9307468365068425,2.5055185049459374,1.2999363667439172,3.5832292415595917,3.2774424552383192,3.6202128565827203,0.0,9.76420937983609,5.9009513568663765,8.283523812743473,6.654749174531998,7.139380740924609,12.896242909340705,8.932609870938775,8.937403708866102,11.603454137060517,1.9675831825415537,3.3049471031274846,7.2698059941188555,3.359902858537173,4.273136775915551,6.010107200307041,6.017404627327671,7.692243076038923,6.353335808162864,8.281078149702795,8.149254761671946,1.8300295415767605,2.980701546249887,5.0690139611914695,3.4516993938995384,4.850599472034708,5.268365622862949,6.760848735122024,5.24831690115058,3.645247580139062,4.262922589014472,1.8006948738175224,4.257513101201799,7.085125767369062,9.01703213658238,10.520880819837547,6.112261018638611,3.8147470029652366
Fontinalaceae,14.681636131612114,12.344133077391081,8.586751525691044,4.6382482150466195,9.798366715281478,17.807608201503143,10.210829197438375,13.083023619289945,11.812995009537351,14.04780726791825,13.39417874454165,11.379292560545801,9.577370620576042,10.114256731217141,8.48574352451743,7.895339735156028,6.643770246937956,12.300207247339868,9.76420937983609,0.0,15.032384758822312,10.462705760038999,11.599388196757927,3.910886431921977,15.952633683158345,16.748398689876645,18.250006387041545,8.854957743542979,11.491278706723438,8.881534570996223,16.176172804899625,12.808996461610061,13.476460582857182,4.40963570486774,15.091625648630876,16.888204764887547,14.897324653317119,4.375360771454976,17.71197380988976,7.988117817238448,12.147751107065814,6.532478485220136,12.741967627885554,13.587044419375296,13.076146887515442,11.18445127394558,14.189597839435798,12.830955365041072,11.275689480207085,10.434487125149992,6.826560642664386,15.601645228160416,18.43444409476521,19.94068308469452,7.272042300682975,13.011522940204753
Gomphidiaceae ,6.865669856477925,6.978919702490005,8.058963689223832,12.33605238430425,6.915090378952839,10.714900364998808,8.081057192907652,24.527161917085156,4.878569072902668,6.668760307255854,6.560585334817287,7.086030378467003,7.754941911059408,6.8162682040935785,6.910124704458475,9.363324738357923,8.811698373513277,6.278353514768064,5.9009513568663765,15.032384758822312,0.0,12.924592553553087,10.965983349161991,12.91199063659046,12.958956650103577,4.053312038618519,3.4789174762371653,17.06712447328084,4.4131471144839525,6.379501889432614,6.476668372460095,4.010454101584207,5.584510311268189,11.526620127704405,6.659465664112518,6.28912566277218,5.780719446161363,13.781868096852197,6.354254894408482,7.288375893277411,5.8922722511811365,10.881914362856445,5.607655281367949,6.504213722939719,5.865296102670907,11.269167574657734,6.712889874281475,5.641302769642834,6.476691349926983,6.365190620225402,9.885403447917334,8.281230019000507,7.200258317016872,8.345340678565384,9.259213324868933,5.493718615743452
Grifolaceae,9.989797818590093,10.350781449279078,8.418189486691412,6.5191349914189995,8.250673535321834,19.71411474330639,13.522368513686008,13.110974542313997,9.794431306218343,10.247056901100008,11.09788733886508,8.145331829054053,10.957001301079513,9.557409730955428,8.142887071239251,5.570912067910368,7.14847698360486,9.746045375233868,8.283523812743473,10.462705760038999,12.924592553553087,0.0,3.5129925415768906,6.910873637325987,20.559045035218194,16.55577183377644,15.75309565218442,5.192101399381041,9.835227152569262,9.693834210287035,13.38135709198692,10.772797050683353,10.170669276766949,6.774363967746725,10.342990895849272,13.544238484071755,13.462153741025984,6.260524647441561,12.109732080460313,8.098068944017859,8.001743053527752,7.39475487336198,9.06346254380155,10.396693897841947,12.956068414572314,3.0036644131402332,8.92513623776318,9.626787453363892,11.980070814149633,8.713923734374376,8.330527297965693,9.797021992797118,13.756534352900418,14.954259610506154,10.256585768087803,10.006482467981026
Gymnosporangiaceae,6.728599653913472,7.505551648020742,6.690787018185728,8.055901685048747,6.175310823263608,17.165403632703956,11.950959432095951,16.290199371709672,7.411492932312556,7.067073295784738,8.127348471891763,5.3865616721528795,9.070796255201794,7.408339021830195,6.943405861297172,4.5310890398360115,6.828546013253388,6.932997936839075,6.654749174531998,11.599388196757927,10.965983349161991,3.5129925415768906,0.0,7.722437315122637,18.662905889874622,14.79735063985228,13.370807294943297,7.836554927740159,7.7258367135013675,9.106696132962428,10.233787962869409,8.317736968704112,7.234062486482714,7.586749137497591,7.1027305880662395,10.378191430718388,10.601522071600343,8.091472339756947,9.149885255000859,7.134527750061427,5.379835993952214,6.519020029925262,6.261993718518615,7.318966448901596,10.454578389015142,0.5830909201370331,5.769290324769292,6.7875950852019065,9.802291724253257,6.478703764439326,7.221253835652713,6.385813524566176,10.526852100172036,11.701018694225294,10.69650508676131,7.167710699271173
Helvellaceae,11.38451107003704,9.517119490957825,5.89295055647179,2.84725728569046,6.924458067237611,16.757942773370985,9.439881673054812,13.083472367696661,9.142865345566406,10.900936055796725,10.587728397685948,8.16417307107714,7.701365131675416,7.58490042847243,6.044675319459184,4.370940093698609,4.1422919968919905,9.368368132280747,7.139380740924609,3.910886431921977,12.91199063659046,6.910873637325987,7.722437315122637,0.0,16.033369380654715,15.420274254414936,16.059707805379087,6.413195677664209,8.99060508041151,7.408805970579234,13.430853820878527,10.255204007894427,10.486784963422316,1.8996285848747354,11.82047968910012,14.055493345693586,12.526210501270748,2.3360369479886223,14.49381838814343,5.661338176988052,8.945347933639814,3.446863354058011,9.6457073174266,10.561672106536712,11.046781615569248,7.308300445739703,10.800458999946919,9.828153692696125,9.39220317958132,7.615655442921025,4.28357736112156,12.086196784579926,15.339226160569373,16.80826007975331,6.984148407283,10.075133439507468
Hydnaceae,14.740097995540298,11.832593192255183,12.172448045698996,17.069710780785062,12.61252650740037,5.050704411773635,7.183878047173505,28.792622632634572,12.114942908124354,13.63844207189395,11.843782958500237,13.58630138247479,9.652427660008172,11.307108985261403,12.762329780751957,14.995325128689982,13.971996158143503,12.446612480046245,12.896242909340705,15.952633683158345,12.958956650103577,20.559045035218194,18.662905889874622,16.033369380654715,0.0,11.482437973017095,13.414840207499262,22.170937419312363,12.045467991383058,12.802342980591494,12.230571302669514,11.845023121871364,13.060426197178915,15.63411376746885,14.822021044771137,13.081280401942527,10.329285169452247,17.984124539643503,16.64184961809722,12.86642525555973,14.415107513670522,13.831249498835291,13.684582770987124,12.924111649541622,9.032573435254404,18.78923280704679,15.432014602889073,13.073514869135517,9.01885856548742,12.390481292385354,12.555645750456648,16.3410969787118,15.380885992515417,16.389689121958114,14.251517124859754,12.78729867100385
Hydrocharitaceae,10.453139018487512,9.860349686119822,10.73750730727758,14.795625593734512,9.940640162633645,9.679427689232083,8.588361713380312,27.319630290695763,8.054989015835957,10.04131601569657,9.41342603211931,10.492687439269744,9.643691204232281,9.45713352714493,9.60284693564221,12.508594905754048,11.385819690748386,9.448995333061326,8.932609870938775,16.748398689876645,4.053312038618519,16.55577183377644,14.79735063985228,15.420274254414936,11.482437973017095,0.0,4.308003188637087,20.301777184223944,7.517813206961422,8.324303478402156,8.921000461518986,7.156417003126907,8.978459103881185,13.97174084772574,10.239230206328918,8.858918219058173,7.729436021337939,16.372565381347755,9.83116122804846,9.86103098348492,9.644186748295233,13.539044015515742,9.229327474701442,9.72104920270686,7.495978924253664,15.05612156077501,10.537728115805562,9.075610832263889,8.184749021905805,9.42997803864879,12.321091819564517,11.974402028986042,10.049183641875802,10.949144621318151,10.613444777663263,8.84355977202759
Hygrophoraceae,7.925677532966003,8.59425229251845,10.73754999020405,15.70672569081779,9.5570508226641,10.118993838378467,10.16265500695655,27.810976440666895,7.269409920867412,7.8464937178654806,7.7911587656270775,9.278477209170381,10.040935055185711,9.231876384055267,10.030324135654956,12.298510770275948,12.049654278318048,8.112150997691932,8.937403708866102,18.250006387041545,3.4789174762371653,15.75309565218442,13.370807294943297,16.059707805379087,13.414840207499262,4.308003188637087,0.0,20.09004403862716,7.143041487300352,9.771776651080442,6.312216316441379,6.1531594187603895,7.115170041426353,14.805870267229277,7.555067000720801,5.796692135958646,6.152022954119961,17.078627529445992,6.222239195981862,10.464330864966566,8.235455444557301,13.673562957562915,7.608739807417343,7.801365814716794,7.118406463510871,13.766715763032174,8.175835563576223,7.4775650713724815,8.405282392245866,8.906110833491915,12.658955479268924,9.13262642401902,6.291429104097783,6.9281025826056375,12.660910737420387,7.228809300703857
